trade_date,direction,actual,actual_fullday,score,signal_count,opt_strike,opt_side,entry_time,exit_time,exit_reason,opt_entry,opt_exit,pnl_pts,pnl_inr,result,oi_quadrant,futures_basis,pcr_signal,oi_velocity,strike_defense,fii_signature,has_opt_oi,fii_attribution,clf_confidence,clf_fii_score,dte,regime_5d_ret,extreme_regime,call_wall_in,put_wall_in,pcr_input,fii_fut,fii_cash,day_open,notes
2026-01-09,0,0,-1,-0.0388,6.0,,,,,,,,,,NO_TRADE,-1.0,-1.0,1.0,1.0,1.0,-1.0,True,FII_BEAR,0.175,-0.174,4,-1.72,False,27000,25000,0.664,-1,-1,25962.0,"short_buildup p=-15 oi=+27 | backwardation fut=25780 spot=25877 basis=-0.46% | extreme_calls_bullish pcr=0.66 ma=0.99 | put_writing_dominant atm_net_vel=22.0 ce=-107.0 pe=-85.0 | lower_range_bullish ltp=25780 call=27000 put=25000 pos=0.39 | FII_RT [classifier=FII_BEAR conf=0.17, oi_vel_conflicts net=29.4] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-01-12,0,0,1,0.5158,6.0,,,,,,,,,,NO_TRADE,1.0,1.0,1.0,1.0,-1.0,-1.0,True,FII_BEAR,0.085,-0.029,1,-2.16,False,26000,25000,0.622,-1,-1,25770.2,"long_buildup p=+10 oi=+189 | contango fut=25876 spot=25683 basis=+0.73% | extreme_calls_bullish pcr=0.62 ma=0.82 | put_writing_dominant atm_net_vel=43.8 ce=-140.9 pe=-97.1 | near_call_wall ltp=25876 call=26000 put=25000 pos=0.88 | FII_RT [classifier=FII_BEAR conf=0.09, oi_vel_conflicts net=62.8] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-01-13,1,-1,-1,0.5542,6.0,25850.0,CE,11:12,11:59,SL,24.15,11.25,-12.9,-967.5,LOSS_SL,1.0,1.0,1.0,1.0,-1.0,-1.0,True,FII_BEAR,0.099,-0.054,1,-1.48,False,26000,25000,0.895,-1,-1,25925.8,"long_buildup p=+25 oi=+15 | contango fut=25856 spot=25790 basis=+0.23% | bullish_pcr pcr=0.90 ma=0.80 | put_writing_dominant atm_net_vel=161.1 ce=-62.9 pe=98.2 | near_call_wall ltp=25856 call=26000 put=25000 pos=0.86 | FII_RT [classifier=FII_BEAR conf=0.10, oi_vel_conflicts net=211.2] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-01-14,1,-1,-1,0.5506,5.0,25800.0,CE,11:28,13:57,SL,126.4,62.9,-63.5,-4762.5,LOSS_SL,1.0,1.0,1.0,1.0,0.0,-1.0,True,FII_BEAR,0.335,-0.35,6,-1.56,False,26000,25700,0.791,-1,0,25741.6,"long_buildup p=+15 oi=+22 | contango fut=25822 spot=25732 basis=+0.22% | bullish_pcr pcr=0.79 ma=0.77 | put_writing_dominant atm_net_vel=44.7 ce=-8.5 pe=36.2 | mid_range ltp=25822 call=26000 put=25700 pos=0.41 | FII_RT [classifier=FII_BEAR conf=0.33, oi_vel_conflicts net=56.6] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-01-16,0,0,-1,0.4613,6.0,,,,,,,,,,NO_TRADE,1.0,1.0,1.0,1.0,-1.0,-1.0,True,FII_BEAR,0.098,-0.06,4,-0.82,False,26000,25000,0.81,-1,-1,25775.4,"long_buildup p=+15 oi=+184 | contango fut=25754 spot=25666 basis=+0.26% | bullish_pcr pcr=0.81 ma=0.76 | put_writing_dominant atm_net_vel=13.8 ce=-73.6 pe=-59.8 | upper_range_bearish ltp=25754 call=26000 put=25000 pos=0.75 | FII_RT [classifier=FII_BEAR conf=0.10, oi_vel_conflicts net=13.6] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-01-19,0,0,-1,-0.3241,4.0,,,,,,,,,,NO_TRADE,-1.0,-1.0,1.0,0.0,0.0,-1.0,True,FII_BEAR,0.087,-0.028,1,0.04,False,26000,25000,0.759,-1,-1,25626.1,"long_unwind p=-21 oi=-68 | backwardation fut=25591 spot=25694 basis=-0.42% | bullish_pcr pcr=0.76 ma=0.78 | velocity_short_suppressed_backwardation basis=-0.40% atm_net_vel=-45.3 ce=-100.8 pe=-146.1 | mid_range ltp=25591 call=26000 put=25000 pos=0.59 | FII_RT [classifier=FII_BEAR conf=0.09, oi_vel_confirms net=-57.5] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-01-20,0,0,-1,0.3802,6.0,,,,,,,,,,NO_TRADE,1.0,-1.0,1.0,1.0,1.0,1.0,True,FII_BULL,0.13,0.049,1,-0.79,False,26000,25500,0.767,-1,-1,25599.0,"short_cover p=+8 oi=-143 | backwardation fut=25238 spot=25586 basis=-1.38% | bullish_pcr pcr=0.77 ma=0.80 | put_writing_dominant atm_net_vel=274.6 ce=-439.9 pe=-165.4 | near_put_wall ltp=25238 call=26000 put=25500 pos=-0.52 | FII_RT [classifier=FII_BULL conf=0.13, oi_vel_confirms net=257.5] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-01-21,1,-1,-1,0.5897,5.0,25250.0,CE,12:38,15:20,EOD,164.45,114.6,-49.85,-3738.75,LOSS_EOD,1.0,0.0,1.0,1.0,1.0,-1.0,True,FII_BEAR,0.224,-0.245,6,-1.94,False,26000,25000,0.651,-1,-1,25237.0,"long_buildup p=+61 oi=+54 | neutral fut=25265 spot=25232 basis=-0.00% | extreme_calls_bullish pcr=0.65 ma=0.76 | put_writing_dominant atm_net_vel=50.6 ce=-31.6 pe=18.9 | lower_range_bullish ltp=25265 call=26000 put=25000 pos=0.26 | FII_RT [classifier=FII_BEAR conf=0.22, oi_vel_conflicts net=67.7] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-01-22,0,0,1,0.6489,6.0,,,,,,,,,,NO_TRADE,1.0,1.0,1.0,1.0,1.0,1.0,True,FII_BULL,0.121,0.042,5,-1.98,False,26000,25000,0.783,-1,-1,25319.9,"long_buildup p=+22 oi=+311 | contango fut=25366 spot=25158 basis=+0.72% | bullish_pcr pcr=0.78 ma=0.75 | put_writing_dominant atm_net_vel=75.3 ce=-82.0 pe=-6.6 | lower_range_bullish ltp=25366 call=26000 put=25000 pos=0.37 | FII_RT [classifier=FII_BULL conf=0.12, oi_vel_confirms net=102.0] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-01-23,0,0,-1,0.2755,6.0,,,,,,,,,,NO_TRADE,1.0,-1.0,1.0,1.0,1.0,-1.0,True,FII_BEAR,0.068,-0.0,4,-1.57,False,26000,25000,0.875,-1,-1,25370.0,"short_cover p=+1 oi=-14 | backwardation fut=25076 spot=25290 basis=-0.93% | bullish_pcr pcr=0.87 ma=0.77 | put_writing_dominant atm_net_vel=60.7 ce=-156.2 pe=-95.5 | near_put_wall ltp=25076 call=26000 put=25000 pos=0.08 | FII_RT [classifier=FII_BEAR conf=0.07, oi_vel_conflicts net=42.6] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
