trade_date,direction,actual,actual_fullday,score,signal_count,opt_strike,opt_side,entry_time,exit_time,exit_reason,opt_entry,opt_exit,pnl_pts,pnl_inr,result,oi_quadrant,futures_basis,pcr_signal,oi_velocity,strike_defense,fii_signature,has_opt_oi,fii_attribution,clf_confidence,clf_fii_score,dte,regime_5d_ret,extreme_regime,call_wall_in,put_wall_in,pcr_input,fii_fut,fii_cash,day_open,notes
2026-03-02,0,0,-1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,1,-2.08,False,26000,25000,0.626,-1,-1,25075.2,
2026-03-04,0,0,1,-0.4429,4.0,,,,,,,,,,NO_TRADE,-1.0,-1.0,0.0,0.0,-1.0,-1.0,True,FII_BEAR,0.134,-0.075,6,-2.2,False,24900,24000,0.933,-1,-1,24472.8,short_buildup p=-4 oi=+187 | backwardation fut=24570 spot=24866 basis=-1.32% | neutral_pcr pcr=0.93 ma=0.84 | velocity_short_suppressed_backwardation basis=-1.19% atm_net_vel=-8.8 ce=-23.8 pe=-32.6 | upper_range_bearish ltp=24570 call=24900 put=24000 pos=0.63 | FII_RT [classifier=FII_BEAR conf=0.13] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)
2026-03-05,1,1,1,0.5247,5.0,24750.0,CE,11:08,15:20,EOD,180.2,204.6,24.4,1830.0,WIN_EOD,1.0,1.0,0.0,1.0,1.0,-1.0,True,FII_BEAR,0.125,-0.122,5,-3.93,True,26000,24000,0.951,-1,-1,24650.1,"long_buildup p=+9 oi=+130 | contango fut=24747 spot=24480 basis=+0.98% | neutral_pcr pcr=0.95 ma=0.85 | put_writing_dominant atm_net_vel=8.4 ce=4.9 pe=13.4 | lower_range_bullish ltp=24747 call=26000 put=24000 pos=0.37 | FII_RT [classifier=FII_BEAR conf=0.12, oi_vel_conflicts net=12.8] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-03-06,0,0,-1,-0.0762,4.0,,,,,,,,,,NO_TRADE,1.0,-1.0,0.0,0.0,1.0,1.0,True,FII_BULL,0.102,0.064,4,-2.87,False,26000,24000,1.015,-1,-1,24712.0,"long_buildup p=+2 oi=+381 | backwardation fut=24537 spot=24766 basis=-1.01% | neutral_pcr pcr=1.01 ma=0.88 | velocity_short_suppressed_backwardation basis=-0.92% atm_net_vel=-27.7 ce=-66.5 pe=-94.2 | lower_range_bullish ltp=24537 call=26000 put=24000 pos=0.27 | FII_RT [classifier=FII_BULL conf=0.10, oi_vel_conflicts net=-39.2] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-03-09,1,1,1,0.4075,5.0,23950.0,CE,11:23,15:20,EOD,160.0,228.0,68.0,5100.0,WIN_EOD,1.0,-1.0,1.0,1.0,0.0,1.0,True,FII_BULL,0.117,0.078,1,-2.89,False,25000,23000,0.835,-1,-1,23910.0,"long_buildup p=+37 oi=+68 | backwardation fut=23953 spot=24450 basis=-2.06% | bullish_pcr pcr=0.84 ma=0.87 | put_writing_dominant atm_net_vel=15.0 ce=2.7 pe=17.7 | mid_range ltp=23953 call=25000 put=23000 pos=0.48 | FII_RT [classifier=FII_BULL conf=0.12, oi_vel_confirms net=20.0] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-03-10,0,0,1,-0.23,5.0,,,,,,,,,,NO_TRADE,1.0,1.0,0.0,-1.0,-1.0,-1.0,True,FII_BEAR,0.89,-0.799,1,-3.37,True,25000,23000,0.995,-1,-1,24296.3,"short_cover p=+8 oi=-436 | contango fut=24400 spot=24028 basis=+1.52% | neutral_pcr pcr=0.99 ma=0.95 | call_writing_dominant atm_net_vel=-84.2 ce=-159.1 pe=-243.3 | upper_range_bearish ltp=24400 call=25000 put=23000 pos=0.70 | FII_RT [classifier=FII_BEAR conf=0.89, oi_vel_confirms net=-39.3] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-03-11,0,0,-1,0.3706,4.0,,,,,,,,,,NO_TRADE,1.0,-1.0,0.0,1.0,0.0,-1.0,True,DII_BEAR,0.182,-0.059,6,-0.89,False,25000,23000,1.025,-1,-1,24350.0,"long_buildup p=+17 oi=+238 | backwardation fut=23949 spot=24262 basis=-1.42% | neutral_pcr pcr=1.02 ma=0.96 | put_writing_dominant atm_net_vel=22.9 ce=-41.7 pe=-18.9 | mid_range ltp=23949 call=25000 put=23000 pos=0.47 | FII_RT [classifier=DII_BEAR conf=0.13, oi_vel_conflicts net=20.0] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-03-12,0,0,-1,-0.009,5.0,,,,,,,,,,NO_TRADE,1.0,-1.0,1.0,0.0,1.0,-1.0,True,FII_BEAR,0.073,-0.006,5,-3.63,True,25000,23000,0.834,-1,-1,23748.0,"short_cover p=+2 oi=-2435 | backwardation fut=23738 spot=23867 basis=-0.65% | bullish_pcr pcr=0.83 ma=0.94 | velocity_short_suppressed_backwardation basis=-0.54% atm_net_vel=-33.3 ce=-2.2 pe=-35.6 | lower_range_bullish ltp=23738 call=25000 put=23000 pos=0.37 | FII_RT [classifier=FII_BEAR conf=0.07, oi_vel_confirms net=-37.8] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-03-13,0,0,-1,0.1499,6.0,,,,,,,,,,NO_TRADE,-1.0,-1.0,1.0,1.0,1.0,-1.0,True,FII_BEAR,0.128,-0.124,4,-3.32,True,25000,23000,0.858,-1,-1,23522.0,"short_buildup p=-6 oi=+3 | backwardation fut=23192 spot=23639 basis=-1.98% | bullish_pcr pcr=0.86 ma=0.91 | put_writing_dominant atm_net_vel=53.3 ce=-83.2 pe=-30.0 | near_put_wall ltp=23192 call=25000 put=23000 pos=0.10 | FII_RT [classifier=FII_BEAR conf=0.13, oi_vel_conflicts net=51.2] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-03-16,1,1,1,0.5415,6.0,23250.0,CE,11:23,15:20,EOD,157.3,218.4,61.1,4582.5,WIN_EOD,1.0,1.0,1.0,1.0,1.0,-1.0,True,FII_BEAR,0.9,-0.833,1,-3.65,True,24000,23000,0.748,-1,-1,23250.4,"short_cover p=+36 oi=-1465 | contango fut=23259 spot=23151 basis=+0.45% | bullish_pcr pcr=0.75 ma=0.89 | put_writing_dominant atm_net_vel=42.0 ce=-11.6 pe=30.4 | lower_range_bullish ltp=23259 call=24000 put=23000 pos=0.26 | FII_RT [classifier=FII_BEAR conf=0.90, oi_vel_conflicts net=63.5] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
