trade_date,mode,vol_20d,direction,score,signal_count,opt_strike,opt_side,otm_dist,entry_time,exit_time,exit_reason,opt_entry,opt_exit,pnl_pts,pnl_inr,result,day_open,regime_5d_ret,vs_open_pct,orb_high,orb_low
2026-01-01,orb,0.562,0,-0.578,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26329.9,0.54,-0.15,26339.6,26290.0
2026-01-02,orb,0.581,0,0.051,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26315.0,0.89,0.51,26389.3,26312.5
2026-01-05,orb,0.585,0,-0.344,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26506.2,2.01,-0.68,26506.2,26392.7
2026-01-06,orb,0.529,0,0.04,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26353.1,1.51,-0.26,26381.0,26301.2
2026-01-07,orb,0.523,0,0.019,5,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26229.4,-0.09,0.02,26265.9,26205.0
2026-01-08,orb,0.57,0,0.241,6,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26189.0,-0.2,-0.79,26209.9,26150.0
2026-01-09,orb,0.569,-1,-0.475,5,25800.0,PE,150.0,12:38,15:20,EOD,137.9,132.7,5.2,390.0,WIN,25962.0,-1.94,-0.65,26030.9,25936.5
2026-01-12,orb,0.559,0,0.45,6,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25770.2,-1.97,0.41,25787.0,25641.1
2026-01-13,orb,0.563,-1,-0.452,5,25750.0,PE,200.0,12:25,13:00,TP,58.4,106.9,-48.6,-3641.0,LOSS,25925.8,-1.53,-0.81,25929.0,25771.1
2026-01-14,orb,0.547,0,0.152,6,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25741.6,-1.74,-0.09,25811.4,25696.4
2026-01-16,orb,0.547,0,0.425,5,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25775.4,-0.91,-0.08,25811.0,25752.5
2026-01-19,orb,0.566,0,-0.373,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25626.1,-0.24,-0.14,25663.3,25570.1
2026-01-20,orb,0.598,0,0.303,6,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25599.0,-1.18,-1.41,25604.8,25490.4
2026-01-21,orb,0.57,1,0.554,5,25350.0,CE,100.0,12:53,14:26,SL,158.3,77.0,-81.3,-6094.0,LOSS,25237.0,-1.99,-0.27,25325.0,25225.0
2026-01-22,orb,0.606,-1,-0.488,5,25200.0,PE,100.0,11:44,14:48,SL,132.9,63.8,69.2,5186.0,WIN,25319.9,-2.09,0.03,25448.0,25316.5
2026-01-23,orb,0.646,-1,-0.404,5,25250.0,PE,100.0,11:40,13:31,TP,109.1,198.8,-89.7,-6728.0,LOSS,25370.0,-1.45,-0.98,25370.0,25287.5
2026-01-27,orb,0.657,0,0.476,6,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25116.3,-1.93,0.22,25175.0,24957.5
2026-01-28,orb,0.715,0,0.259,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25437.2,-0.37,0.08,25490.0,25405.6
2026-01-29,orb,0.721,0,0.373,2,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25396.2,1.06,0.55,25410.0,25317.0
2026-01-30,orb,0.633,0,-0.272,2,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25410.0,0.65,0.04,25410.0,25324.1
