trade_date,mode,vol_20d,direction,score,signal_count,opt_strike,opt_side,otm_dist,entry_time,exit_time,exit_reason,opt_entry,opt_exit,pnl_pts,pnl_inr,result,day_open,regime_5d_ret,vs_open_pct,orb_high,orb_low
2026-01-01,otm,0.562,0,-0.578,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26329.9,0.54,-0.15,26339.6,26290.0
2026-01-02,otm,0.581,0,0.051,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26315.0,0.89,0.51,26389.3,26312.5
2026-01-05,otm,0.585,0,-0.344,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26506.2,2.01,-0.68,26506.2,26392.7
2026-01-06,otm,0.529,0,0.04,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,26353.1,1.51,-0.26,26381.0,26301.2
2026-01-07,otm,0.523,1,0.394,5,26500.0,CE,250.0,11:04,15:20,EOD,17.2,10.4,-6.8,-510.0,LOSS,26229.4,-0.09,0.04,26265.9,26205.0
2026-01-08,otm,0.57,-1,-0.355,5,25900.0,PE,300.0,11:02,15:20,EOD,42.6,86.7,-44.0,-3300.0,LOSS,26189.0,-0.2,-0.77,26209.9,26150.0
2026-01-09,otm,0.569,-1,-0.475,5,25600.0,PE,350.0,12:38,15:20,EOD,49.9,43.7,6.1,461.0,WIN,25962.0,-1.94,-0.65,26030.9,25936.5
2026-01-12,otm,0.559,-1,-0.364,5,25400.0,PE,350.0,11:25,12:21,SL,30.8,12.2,18.6,1395.0,WIN,25770.2,-1.97,-0.18,25787.0,25641.1
2026-01-13,otm,0.563,1,0.382,6,25950.0,CE,0.0,11:10,12:01,SL,6.5,2.6,-3.9,-296.0,LOSS,25925.8,-1.53,-0.43,25929.0,25771.1
2026-01-14,otm,0.547,1,0.501,5,26000.0,CE,250.0,11:20,15:20,EOD,43.5,31.2,-12.3,-919.0,LOSS,25741.6,-1.74,-0.12,25811.4,25696.4
2026-01-16,otm,0.547,0,0.425,5,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25775.4,-0.91,-0.08,25811.0,25752.5
2026-01-19,otm,0.566,1,0.354,5,25800.0,CE,150.0,11:44,15:15,REVERSAL,13.2,9.1,-4.1,-308.0,LOSS,25626.1,-0.24,-0.06,25663.3,25570.1
2026-01-20,otm,0.598,0,0.303,6,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25599.0,-1.18,-1.41,25604.8,25490.4
2026-01-21,otm,0.57,1,0.368,6,25400.0,CE,150.0,12:21,15:20,EOD,75.3,62.3,-13.0,-979.0,LOSS,25237.0,-1.99,-0.28,25325.0,25225.0
2026-01-22,otm,0.606,-1,-0.406,5,25050.0,PE,250.0,11:02,14:30,REVERSAL,70.2,47.9,22.3,1669.0,WIN,25319.9,-2.09,-0.17,25448.0,25316.5
2026-01-23,otm,0.646,-1,-0.404,5,25050.0,PE,300.0,11:40,15:20,EOD,43.5,96.2,-52.6,-3945.0,LOSS,25370.0,-1.45,-1.04,25370.0,25287.5
2026-01-27,otm,0.657,1,0.505,6,25350.0,CE,250.0,11:47,12:19,SL,12.7,4.8,-7.8,-589.0,LOSS,25116.3,-1.93,0.06,25175.0,24957.5
2026-01-28,otm,0.715,0,0.259,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25437.2,-0.37,0.08,25490.0,25405.6
2026-01-29,otm,0.721,0,0.373,2,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25396.2,1.06,0.55,25410.0,25317.0
2026-01-30,otm,0.633,0,-0.272,2,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25410.0,0.65,0.04,25410.0,25324.1
