trade_date,mode,vol_20d,direction,score,signal_count,opt_strike,opt_side,otm_dist,entry_time,exit_time,exit_reason,opt_entry,opt_exit,pnl_pts,pnl_inr,result,day_open,regime_5d_ret,vs_open_pct,orb_high,orb_low
2025-09-08,otm,,0,0.408,2,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,24880.1,0.37,0.05,24942.2,24863.0
2025-09-09,otm,,0,0.425,2,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,24941.5,0.89,0.03,24968.0,24931.2
2025-09-10,otm,,0,0.034,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25034.0,0.57,0.18,25096.8,25010.8
2025-09-11,otm,,0,-0.575,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25072.8,0.98,0.12,25103.7,25052.1
2025-09-12,otm,,0,-0.14,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25150.1,1.05,0.22,25160.0,25132.0
2025-09-15,otm,0.273,0,0.253,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25195.9,1.24,-0.13,25200.0,25161.3
2025-09-16,otm,0.309,0,-0.334,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25178.7,0.83,0.58,25221.1,25152.0
2025-09-17,otm,0.295,0,0.294,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25379.3,1.08,0.15,25424.8,25364.6
2025-09-18,otm,0.284,0,0.613,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25502.1,1.24,0.04,25515.0,25480.0
2025-09-19,otm,0.311,0,0.259,4,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25483.9,1.19,-0.27,25486.1,25377.8
2025-09-22,otm,0.362,0,-0.219,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25340.1,1.02,-0.27,25389.7,25293.0
2025-09-23,otm,0.354,0,-0.624,2,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25282.1,-0.3,-0.1,25297.8,25190.0
2025-09-24,otm,0.38,0,-0.185,3,,,,,,NO_TRADE,,,0.0,0.0,NO_TRADE,25198.6,-0.67,-0.34,25199.6,25105.0
