trade_date,direction,actual,actual_fullday,score,signal_count,opt_strike,opt_side,entry_time,exit_time,exit_reason,opt_entry,opt_exit,pnl_pts,pnl_inr,result,oi_quadrant,futures_basis,pcr_signal,oi_velocity,strike_defense,fii_signature,has_opt_oi,fii_attribution,clf_confidence,clf_fii_score,dte,regime_5d_ret,extreme_regime,call_wall_in,put_wall_in,pcr_input,fii_fut,fii_cash,day_open,notes
2025-09-08,0,0,1,-0.0629,4,,,,,,,,,,NO_TRADE,1,1,0,-1,0,-1,True,FII_BEAR,0.184,-0.204,1,0.47,False,,,1.0,-1,0,24880.1,"long_buildup p=+2 oi=+268 | contango fut=24893 spot=24741 basis=+0.59% | neutral_pcr pcr=1.00 ma=1.00 | call_writing_dominant atm_net_vel=-172.9 ce=-43.0 pe=-215.9 | no walls | FII_RT [classifier=FII_BEAR conf=0.18, oi_vel_confirms net=-216.2] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2025-09-09,0,0,1,0.608,4,,,,,,,,,,NO_TRADE,1,1,0,1,0,-1,True,FII_BEAR,0.978,-0.972,1,0.79,False,,,1.0,-1,0,24941.5,"long_buildup p=+0 oi=+186 | contango fut=24949 spot=24773 basis=+0.69% | neutral_pcr pcr=1.00 ma=1.00 | put_writing_dominant atm_net_vel=120.2 ce=-398.4 pe=-278.2 | no walls | FII_RT [classifier=FII_BEAR conf=0.98, oi_vel_conflicts net=217.4] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2025-09-10,0,0,1,0.0623,4,,,,,,,,,,NO_TRADE,1,1,0,-1,0,-1,True,FII_BEAR,0.376,-0.483,6,0.62,False,,,1.0,-1,1,25034.0,"long_buildup p=+8 oi=+381 | contango fut=25080 spot=24869 basis=+0.72% | neutral_pcr pcr=1.00 ma=1.00 | call_writing_dominant atm_net_vel=-22.7 ce=-35.6 pe=-58.3 | no walls | FII_RT [classifier=FII_BEAR conf=0.38, oi_vel_confirms net=-23.5] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2025-09-11,0,0,1,-0.3038,4,,,,,,,,,,NO_TRADE,-1,1,0,-1,0,-1,True,FII_BEAR,0.26,-0.31,5,0.97,False,,,1.0,-1,1,25072.8,"long_unwind p=-1 oi=-46 | contango fut=25104 spot=24973 basis=+0.41% | neutral_pcr pcr=1.00 ma=1.00 | call_writing_dominant atm_net_vel=-25.7 ce=-18.0 pe=-43.7 | no walls | FII_RT [classifier=FII_BEAR conf=0.26, oi_vel_confirms net=-10.2] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2025-09-12,0,0,1,-0.0829,4,,,,,,,,,,NO_TRADE,1,1,0,-1,0,1,True,DII_BULL,0.203,-0.169,4,1.07,False,,,1.0,-1,-1,25150.1,"short_cover p=+1 oi=-99 | contango fut=25206 spot=25006 basis=+0.71% | neutral_pcr pcr=1.00 ma=1.00 | call_writing_dominant atm_net_vel=-68.7 ce=-61.9 pe=-130.6 | no walls | FII_RT [classifier=DII_BULL conf=0.14, oi_vel_conflicts net=-82.8] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-02-03,0,0,-1,0.6164,4,,,,,,,,,,NO_TRADE,1,1,0,1,0,-1,True,FII_BEAR,0.982,-0.966,1,-0.35,False,27000.0,25000.0,0.982,-1,-1,26161.3,"long_buildup p=+13 oi=+151 | contango fut=25825 spot=25088 basis=+2.91% | neutral_pcr pcr=0.98 ma=0.97 | put_writing_dominant atm_net_vel=106.8 ce=-252.1 pe=-145.4 | mid_range ltp=25825 call=27000 put=25000 pos=0.41 | FII_RT [classifier=FII_BEAR conf=0.98, oi_vel_conflicts net=82.7] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-02-04,0,0,1,-0.4975,4,,,,,,,,,,NO_TRADE,-1,0,0,-1,-1,-1,True,FII_BEAR,0.48,-0.498,6,1.52,False,26000.0,25000.0,0.959,-1,1,25740.7,"long_unwind p=-14 oi=-93 | neutral fut=25847 spot=25728 basis=+0.33% | neutral_pcr pcr=0.96 ma=0.97 | call_writing_dominant atm_net_vel=-10.3 ce=-36.7 pe=-47.0 | upper_range_bearish ltp=25847 call=26000 put=25000 pos=0.85 | FII_RT [classifier=FII_BEAR conf=0.48, oi_vel_confirms net=-12.7] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-02-05,0,0,-1,-0.0175,5,,,,,,,,,,NO_TRADE,-1,-1,0,1,-1,-1,True,FII_BEAR,0.202,-0.196,5,1.4,False,26000.0,25000.0,1.07,-1,1,25797.7,"long_unwind p=-15 oi=-161 | backwardation fut=25714 spot=25776 basis=-0.35% | neutral_pcr pcr=1.07 ma=0.99 | put_writing_dominant atm_net_vel=43.7 ce=-53.2 pe=-9.5 | upper_range_bearish ltp=25714 call=26000 put=25000 pos=0.71 | FII_RT [classifier=FII_BEAR conf=0.20, oi_vel_conflicts net=56.0] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-02-06,1,1,1,0.5774,5,25650.0,CE,11:21,15:20,EOD,85.1,114.35,29.25,1901.25,WIN_EOD,1,0,1,1,1,-1,True,FII_BEAR,0.122,-0.086,4,1.27,False,27000.0,25000.0,0.812,-1,-1,25657.3,"long_buildup p=+21 oi=+217 | neutral fut=25648 spot=25643 basis=-0.07% | bullish_pcr pcr=0.81 ma=0.94 | put_writing_dominant atm_net_vel=78.9 ce=-0.8 pe=78.1 | lower_range_bullish ltp=25648 call=27000 put=25000 pos=0.32 | FII_RT [classifier=FII_BEAR conf=0.12, oi_vel_conflicts net=95.2] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
2026-02-09,0,0,1,0.4606,4,,,,,,,,,,NO_TRADE,-1,1,0,1,0,-1,True,FII_BEAR,0.52,-0.566,1,2.41,False,27000.0,25000.0,0.965,-1,1,25906.7,"long_unwind p=-2 oi=-150 | contango fut=25915 spot=25694 basis=+0.84% | neutral_pcr pcr=0.96 ma=0.96 | put_writing_dominant atm_net_vel=26.6 ce=-168.6 pe=-142.1 | mid_range ltp=25915 call=27000 put=25000 pos=0.46 | FII_RT [classifier=FII_BEAR conf=0.52, oi_vel_conflicts net=42.8] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)"
