trade_date,direction,actual,actual_fullday,score,signal_count,opt_strike,opt_side,entry_time,exit_time,exit_reason,opt_entry,opt_exit,pnl_pts,pnl_inr,result,oi_quadrant,futures_basis,pcr_signal,oi_velocity,strike_defense,fii_signature,has_opt_oi,fii_attribution,clf_confidence,clf_fii_score,dte,regime_5d_ret,extreme_regime,call_wall_in,put_wall_in,pcr_input,fii_fut,fii_cash,day_open,notes
2026-01-02,0,0,1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,4,0.4,False,27000,26000,1.131,-1,-1,26315.0,
2026-01-05,0,0,-1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,1,1.49,False,27000,26000,1.463,-1,1,26506.2,
2026-01-06,0,0,-1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,1,1.2,False,27000,26000,0.999,-1,1,26353.1,
2026-01-07,0,0,1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,6,0.19,False,27000,26150,0.914,-1,0,26229.4,
2026-01-08,0,0,-1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,5,-0.02,False,27000,26000,0.887,-1,-1,26189.0,
2026-01-09,0,0,-1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,4,-1.72,False,27000,25000,0.664,-1,-1,25962.0,
2026-01-12,0,0,1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,1,-2.16,False,26000,25000,0.622,-1,-1,25770.2,
2026-01-13,0,0,-1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,1,-1.48,False,26000,25000,0.895,-1,-1,25925.8,
2026-01-14,0,0,-1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,6,-1.56,False,26000,25700,0.791,-1,0,25741.6,
2026-01-16,0,0,-1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,4,-0.82,False,26000,25000,0.81,-1,-1,25775.4,
2026-01-19,0,0,-1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,1,0.04,False,26000,25000,0.759,-1,-1,25626.1,
2026-01-20,0,0,-1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,1,-0.79,False,26000,25500,0.767,-1,-1,25599.0,
2026-01-21,0,0,-1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,6,-1.94,False,26000,25000,0.651,-1,-1,25237.0,
2026-01-22,0,0,1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,5,-1.98,False,26000,25000,0.783,-1,-1,25319.9,
2026-01-23,0,0,-1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,4,-1.57,False,26000,25000,0.875,-1,-1,25370.0,
2026-01-27,0,0,1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,1,-2.1,False,26000,25000,0.701,-1,-1,25116.3,
2026-01-28,0,0,1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,6,-0.23,False,26000,25000,0.936,-1,-1,25437.2,
2026-01-29,0,0,1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,5,0.74,False,26000,25000,0.971,-1,1,25396.2,
2026-01-30,0,0,1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,4,0.51,False,26000,25000,1.057,-1,0,25410.0,
2026-02-02,0,0,1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,1,1.09,False,26000,24000,0.9,-1,0,24806.4,
2026-02-03,0,0,-1,,,,,,,,,,,,NO_TRADE,,,,,,,False,N/A,0.0,0.0,1,-0.35,False,27000,25000,0.982,-1,-1,26161.3,
