date,entry_time,exit_time,year,instrument,strategy,direction,entry,exit_price,stop,target,pnl_pts,pnl_rs,win,exit_reason,bias_score,lots_used,capital_used,gap_pts,gap_pct,gap_vs_atr,orb_size,stop_pts,target_pts,atr14,be_triggered,regime,macro_ok,vwap_dev_pct,margin_per_lot,capital_at_entry,lots_at_entry,equity_after
2022-01-24,2022-01-24 11:45:00,2022-01-24 13:15:00,2022,NSE-BANKNIFTY,ORB,SHORT,37165.8,36903.42,37399.03,36903.42,262.38,6519.5,1,TARGET HIT,1.0,15,75000,141.0,0.374,0.242,1885.0,233.23,262.38,583.08,0.0,neutral,True,,75000,100000.0,1,106519.5
2022-02-03,2022-02-03 10:15:00,2022-02-03 15:30:00,2022,NSE-BANKNIFTY,ORB,SHORT,39282.1,38920.0,39646.99,38871.6,362.1,9012.5,1,SQUARE OFF,0.0872,15,75000,57.95,0.147,0.064,205.35,364.89,410.5,912.22,0.0,neutral,True,,75000,106519.5,1,115532.0
2022-02-07,2022-02-07 11:00:00,2022-02-07 13:45:00,2022,NSE-BANKNIFTY,ORB,SHORT,38550.0,38124.17,38928.52,38124.17,425.83,10605.75,1,TARGET HIT,0.2381,15,75000,186.0,0.479,0.197,316.4,378.52,425.83,946.3,0.0,neutral,True,,75000,115532.0,1,126137.75
2022-02-09,2022-02-09 12:15:00,2022-02-09 15:30:00,2022,NSE-BANKNIFTY,ORB,LONG,38576.95,38724.8,38179.82,39023.72,147.85,3656.25,1,SQUARE OFF,0.0912,15,75000,254.95,0.67,0.257,299.55,397.13,446.77,992.82,0.0,neutral,True,,75000,126137.75,1,129794.0
2022-02-11,2022-02-11 10:00:00,2022-02-11 15:30:00,2022,NSE-BANKNIFTY,ORB,SHORT,38480.0,38441.75,38877.44,38032.88,38.25,916.25,1,SQUARE OFF,0.3268,15,75000,334.95,0.858,0.337,222.6,397.44,447.12,993.6,0.0,neutral,True,,75000,129794.0,1,130710.25
2022-03-04,2022-03-04 10:15:00,2022-03-04 12:30:00,2022,NSE-BANKNIFTY,ORB,SHORT,34283.6,34642.51,34642.51,33879.82,-358.91,-9012.75,0,STOP LOSS,0.1278,15,75000,388.4,1.108,0.433,377.0,358.91,403.78,897.28,0.0,neutral,True,,75000,130710.25,1,121697.5
2022-03-15,2022-03-15 11:30:00,2022-03-15 14:15:00,2022,NSE-BANKNIFTY,VWAP_REV,SHORT,35469.25,34740.87,35954.84,34740.87,728.38,18169.5,1,TARGET HIT,0.054,15,75000,9.0,,,,485.59,728.38,971.17,,neutral,True,0.027,75000,121697.5,1,139867.0
2022-03-22,2022-03-22 10:00:00,2022-03-22 12:30:00,2022,NSE-BANKNIFTY,ORB,SHORT,35565.6,35905.48,35905.48,35183.23,-339.88,-8537.0,0,STOP LOSS,0.5965,15,75000,303.95,0.841,0.358,322.35,339.88,382.37,849.71,0.0,neutral,True,,75000,139867.0,1,131330.0
2022-04-20,2022-04-20 12:30:00,2022-04-20 13:45:00,2022,NSE-BANKNIFTY,ORB,LONG,36565.7,36299.57,36299.57,36865.1,-266.13,-6693.25,0,STOP LOSS,0.1673,15,75000,300.85,0.833,0.452,248.0,266.13,299.4,665.32,0.0,neutral,True,,75000,131330.0,1,124636.75
2022-04-21,2022-04-21 11:00:00,2022-04-21 15:30:00,2022,NSE-BANKNIFTY,ORB,LONG,36686.2,37035.0,36422.45,36982.91,348.8,8680.0,1,SQUARE OFF,0.0465,15,75000,144.9,0.397,0.22,127.0,263.75,296.71,659.36,0.0,neutral,True,,75000,124636.75,1,133316.75
2022-04-22,2022-04-22 13:45:00,2022-04-22 15:30:00,2022,NSE-BANKNIFTY,ORB,SHORT,36325.0,36039.0,36595.11,36021.12,286.0,7110.0,1,SQUARE OFF,0.1237,15,75000,385.0,1.04,0.57,349.9,270.11,303.88,675.28,0.0,neutral,True,,75000,133316.75,1,140426.75
2022-04-26,2022-04-26 11:45:00,2022-04-26 12:45:00,2022,NSE-BANKNIFTY,ORB,LONG,36625.85,36353.52,36353.52,36932.22,-272.33,-6848.25,0,STOP LOSS,0.1415,15,75000,338.2,0.933,0.497,137.9,272.33,306.37,680.82,0.0,neutral,True,,75000,140426.75,1,133578.5
2022-04-28,2022-04-28 12:30:00,2022-04-28 15:30:00,2022,NSE-BANKNIFTY,ORB,LONG,36289.95,36500.0,36051.18,36558.57,210.05,5211.25,1,SQUARE OFF,0.0974,15,75000,79.9,0.221,0.134,217.9,238.77,268.62,596.94,0.0,neutral,True,,75000,133578.5,1,138789.75
2022-04-29,2022-04-29 11:30:00,2022-04-29 14:00:00,2022,NSE-BANKNIFTY,ORB,LONG,36703.0,36459.67,36459.67,36976.75,-243.33,-6123.25,0,STOP LOSS,0.1534,15,75000,175.0,0.479,0.288,206.95,243.33,273.75,608.32,0.0,neutral,True,,75000,138789.75,1,132666.5
2022-05-05,2022-05-05 10:00:00,2022-05-05 13:00:00,2022,NSE-BANKNIFTY,ORB,LONG,35880.0,35612.19,35612.19,36181.29,-267.81,-6735.25,0,STOP LOSS,0.5228,15,75000,328.75,0.93,0.491,207.0,267.81,301.29,669.54,0.0,neutral,True,,75000,132666.5,1,125931.25
2022-05-16,2022-05-16 10:00:00,2022-05-16 12:45:00,2022,NSE-BANKNIFTY,ORB,LONG,33680.45,33396.95,33396.95,33999.38,-283.5,-7127.5,0,STOP LOSS,0.4348,15,75000,148.4,0.449,0.209,582.85,283.5,318.93,708.74,0.0,neutral,True,,75000,125931.25,1,118803.75
2022-05-17,2022-05-17 10:45:00,2022-05-17 14:00:00,2022,NSE-BANKNIFTY,ORB,LONG,33962.75,34283.28,33677.84,34283.28,320.53,7973.25,1,TARGET HIT,0.1533,15,75000,119.05,0.354,0.167,197.0,284.91,320.53,712.28,0.0,neutral,True,,75000,118803.75,1,126777.0
2022-05-20,2022-05-20 10:00:00,2022-05-20 15:15:00,2022,NSE-BANKNIFTY,ORB,LONG,34069.8,34305.0,33775.06,34401.38,235.2,5840.0,1,SQUARE OFF,0.4562,15,75000,330.0,0.991,0.448,362.95,294.74,331.58,736.84,0.0,neutral,True,,75000,126777.0,1,132617.0
2022-05-24,2022-05-24 13:00:00,2022-05-24 14:45:00,2022,NSE-BANKNIFTY,VWAP_REV,SHORT,34274.4,34320.0,34646.31,33716.53,-45.6,-1180.0,0,SQUARE OFF,0.4027,15,75000,46.05,,,,371.91,557.87,743.82,,neutral,True,0.201,75000,132617.0,1,131437.0
