trade_id,date,strategy,contract,strike,direction,entry,entry_value,exit_price,exit_value,pnl_rs,exit_reason,lots_at_entry,capital_at_entry,equity_after,entry_time,exit_time,year,instrument,stop,target,pnl_pts,win,bias_score,lots_used,capital_used,gap_pts,gap_pct,gap_vs_atr,orb_size,stop_pts,target_pts,atr14,be_triggered,regime,macro_ok,vwap_dev_pct,atm_strike,opt_type,expiry,premium_entry,premium_exit,margin_per_lot,per_trade_risk_pct
1,2025-01-23,VWAP_REV,NSE-BANKNIFTY-30Jan25-FUT,FUT,SHORT,48808.0,732120.0,48659.65,729894.75,2185.25,SQUARE OFF,1,110850.34999999999,113035.59999999999,2025-01-23 10:45:00,2025-01-23 14:45:00,2025,NSE-BANKNIFTY,49209.69,48205.47,148.35,1,0.0586,15,75000.0,29.0,,,,401.69,602.53,803.37,,neutral,True,0.029,,,,,,,
2,2025-01-24,VWAP_REV,NSE-BANKNIFTY-30Jan25-FUT,FUT,SHORT,48655.15,729827.25,48364.8,725472.0,4315.25,SQUARE OFF,1,113035.59999999999,117350.84999999999,2025-01-24 12:30:00,2025-01-24 14:45:00,2025,NSE-BANKNIFTY,49045.1,48070.22,290.35,1,0.054,15,75000.0,34.15,,,,389.95,584.93,779.9,,neutral,True,0.027,,,,,,,
3,2025-01-29,ORB,NSE-BANKNIFTY-30Jan25-FUT,FUT,LONG,49031.9,735478.5,49110.0,736650.0,1131.5,SQUARE OFF,1,117350.84999999999,118482.34999999999,2025-01-29 10:15:00,2025-01-29 15:30:00,2025,NSE-BANKNIFTY,48741.24,49358.9,78.1,1,0.0784,15,75000.0,70.9,0.145,0.098,148.4,290.66,327.0,726.66,0.0,neutral,True,,,,,,,,
4,2025-01-31,VWAP_REV,NSE-BANKNIFTY-27Feb25-FUT,FUT,SHORT,49524.4,742866.0,49858.95,747884.25,-5058.25,STOP LOSS,1,118482.34999999999,113424.09999999999,2025-01-31 11:15:00,2025-01-31 12:30:00,2025,NSE-BANKNIFTY,49858.95,49022.58,-334.55,0,0.0133,15,75000.0,43.9,,,,334.55,501.82,669.09,,neutral,True,0.007,,,,,,,
5,2025-02-01,VWAP_REV,NSE-BANKNIFTY-27Feb25-FUT,FUT,SHORT,49719.05,745785.75,50050.15,750752.25,-5006.5,STOP LOSS,1,113424.09999999999,108417.59999999999,2025-02-01 11:45:00,2025-02-01 12:00:00,2025,NSE-BANKNIFTY,50050.15,49222.4,-331.1,0,0.9535,15,75000.0,37.1,,,,331.1,496.65,662.2,,neutral,True,0.477,,,,,,,
6,2025-02-05,OPT_ORB,NSE-BANKNIFTY-2025-02-27-50600-CE,50600.0,LONG,50600.9,12437.25,50523.8,11859.0,-618.25,SQUARE OFF,1,108417.59999999999,107799.34999999999,2025-02-05 10:00:00,2025-02-05 12:00:00,2025,NSE-BANKNIFTY,50329.99,50905.68,-38.55,0,0.3343,1,12437.25,100.3,,,,,,677.28,,neutral,True,,50600.0,CE,2025-02-27,829.15,790.6,12437.25,0.1
7,2025-02-07,VWAP_REV,NSE-BANKNIFTY-27Feb25-FUT,FUT,LONG,50500.0,757500.0,50204.51,753067.65,-4472.35,STOP LOSS,1,107799.34999999999,103326.99999999999,2025-02-07 10:45:00,2025-02-07 13:45:00,2025,NSE-BANKNIFTY,50204.51,50943.23,-295.49,0,0.0,15,75000.0,0.85,,,,295.49,443.23,590.97,,neutral,True,0.0,,,,,,,
8,2025-02-11,ORB,NSE-BANKNIFTY-27Feb25-FUT,FUT,SHORT,49779.95,746699.25,49535.45,743031.75,3627.5,TARGET HIT,1,103326.99999999999,106954.49999999999,2025-02-11 10:00:00,2025-02-11 13:00:00,2025,NSE-BANKNIFTY,49997.29,49535.45,244.5,1,0.4227,15,75000.0,95.7,0.191,0.176,305.05,217.34,244.5,543.34,0.0,neutral,True,,,,,,,,
9,2025-02-12,VWAP_REV,NSE-BANKNIFTY-27Feb25-FUT,FUT,LONG,49276.1,739141.5,49699.27,745489.05,6307.55,TARGET HIT,1,106954.49999999999,113262.04999999999,2025-02-12 10:45:00,2025-02-12 12:30:00,2025,NSE-BANKNIFTY,48993.99,49699.27,423.17,1,0.119,15,75000.0,15.0,,,,282.11,423.17,564.23,,neutral,True,0.06,,,,,,,
10,2025-02-21,OPT_ORB,NSE-BANKNIFTY-2025-02-27-48900-PE,48900.0,SHORT,48927.35,10800.0,48899.45,10381.5,-458.5,SQUARE OFF,2,113262.04999999999,112803.54999999999,2025-02-21 10:00:00,2025-02-21 12:00:00,2025,NSE-BANKNIFTY,49167.57,48657.11,-13.95,0,0.403,1,5400.0,-120.9,,,,,,600.54,,neutral,True,,48900.0,PE,2025-02-27,360.0,346.05,5400.0,0.1
