date,entry_ts,exit_ts,year,instrument,strategy,direction,entry,exit_price,stop,target,pnl_pts,pnl_rs,win,exit_reason,bias_score,lots_used,capital_used,pattern_name,pattern_stack,ema_trend,rsi14,atr14,stop_pts,target_pts,ht_bar_ts,capital_at_entry,lots_at_entry,equity_after,regime,macro_ok
2025-01-08,2025-01-08 12:15:00,2025-01-08 13:45:00,2025,NSE-BANKNIFTY,CANDLESTICK,SHORT,49717.0,49969.23,49959.23,49232.54,-252.23,-3823.45,0,STOP LOSS,0.3333,15,75000,three_black_crows,1,-1,30.53,242.23,242.23,484.46,2025-01-08 12:00:00,100000.0,1,96176.55,neutral,True
2025-01-10,2025-01-10 12:15:00,2025-01-10 15:15:00,2025,NSE-BANKNIFTY,CANDLESTICK,SHORT,49241.7,48840.0,49539.2,48646.71,401.7,5985.5,1,SQUARE OFF,0.3333,15,75000,dark_cloud,1,-1,34.86,297.5,297.5,594.99,2025-01-10 12:00:00,96176.55,1,102162.05,neutral,True
2025-01-10,2025-01-10 14:15:00,2025-01-10 15:15:00,2025,NSE-BANKNIFTY,CANDLESTICK,SHORT,48970.0,48840.0,49250.73,48408.54,130.0,1910.0,1,SQUARE OFF,0.3333,15,75000,three_black_crows,1,-1,30.68,280.73,280.73,561.46,2025-01-10 14:00:00,102162.05,1,104072.05,neutral,True
2025-01-14,2025-01-14 12:15:00,2025-01-14 14:00:00,2025,NSE-BANKNIFTY,CANDLESTICK,SHORT,48705.0,49011.05,49001.05,48112.91,-306.05,-4630.75,0,STOP LOSS,0.3333,15,75000,tweezer_top,1,-1,41.74,296.05,296.05,592.09,2025-01-14 12:00:00,104072.05,1,99441.3,neutral,True
2025-01-16,2025-01-16 14:15:00,2025-01-16 15:15:00,2025,NSE-BANKNIFTY,CANDLESTICK,SHORT,49518.2,49443.0,49782.54,48989.53,75.2,1088.0,1,SQUARE OFF,0.3333,15,75000,dark_cloud,1,-1,59.8,264.34,264.34,528.67,2025-01-16 14:00:00,99441.3,1,100529.3,neutral,True
2025-01-22,2025-01-22 11:15:00,2025-01-22 15:00:00,2025,NSE-BANKNIFTY,CANDLESTICK,SHORT,48546.65,48857.66,48847.66,47944.62,-311.01,-4705.15,0,STOP LOSS,0.3333,15,75000,bearish_engulfing,1,-1,38.53,301.01,301.01,602.03,2025-01-22 11:00:00,100529.3,1,95824.15000000001,neutral,True
2025-01-23,2025-01-23 14:15:00,2025-01-23 15:15:00,2025,NSE-BANKNIFTY,CANDLESTICK,SHORT,48722.75,48696.7,48984.12,48200.01,26.05,350.75,1,SQUARE OFF,0.3333,15,75000,tweezer_top,1,-1,46.75,261.37,261.37,522.74,2025-01-23 14:00:00,95824.15000000001,1,96174.90000000001,neutral,True
2025-01-24,2025-01-24 13:15:00,2025-01-24 15:15:00,2025,NSE-BANKNIFTY,CANDLESTICK,SHORT,48600.55,48382.05,48869.9,48061.86,218.5,3237.5,1,SQUARE OFF,0.6667,15,75000,tweezer_top|evening_star,2,-1,44.77,269.35,269.35,538.69,2025-01-24 13:00:00,96174.90000000001,1,99412.40000000001,neutral,True
2025-01-27,2025-01-27 14:15:00,2025-01-27 15:15:00,2025,NSE-BANKNIFTY,CANDLESTICK,SHORT,48106.25,48129.15,48353.2,47612.36,-22.9,-383.5,0,SQUARE OFF,0.3333,15,75000,bearish_engulfing,1,-1,36.77,246.95,246.95,493.89,2025-01-27 14:00:00,99412.40000000001,1,99028.90000000001,neutral,True
2025-01-28,2025-01-28 14:15:00,2025-01-28 15:15:00,2025,NSE-BANKNIFTY,CANDLESTICK,SHORT,49030.8,48840.8,49278.28,48535.84,190.0,2810.0,1,SQUARE OFF,0.6667,15,75000,bearish_engulfing|tweezer_top,2,-1,60.48,247.48,247.48,494.96,2025-01-28 14:00:00,99028.90000000001,1,101838.90000000001,neutral,True
2025-01-29,2025-01-29 13:15:00,2025-01-29 15:15:00,2025,NSE-BANKNIFTY,CANDLESTICK,SHORT,48950.55,49091.5,49199.98,48451.7,-140.95,-2154.25,0,SQUARE OFF,0.3333,15,75000,tweezer_top,1,-1,56.51,249.42,249.42,498.85,2025-01-29 13:00:00,101838.90000000001,1,99684.65000000001,neutral,True
2025-01-31,2025-01-31 11:15:00,2025-01-31 15:15:00,2025,NSE-BANKNIFTY,CANDLESTICK,LONG,49596.75,49834.05,49396.76,49996.72,237.3,3519.5,1,SQUARE OFF,0.3333,15,75000,piercing,1,1,62.66,199.99,199.99,399.97,2025-01-31 11:00:00,99684.65000000001,1,103204.15000000001,neutral,True
2025-01-31,2025-01-31 13:15:00,2025-01-31 14:00:00,2025,NSE-BANKNIFTY,CANDLESTICK,LONG,49926.55,49714.87,49724.87,50329.91,-211.68,-3215.2,0,STOP LOSS,0.3333,15,75000,three_white_soldiers,1,1,69.88,201.68,201.68,403.36,2025-01-31 13:00:00,103204.15000000001,1,99988.95000000001,neutral,True
2025-02-03,2025-02-03 11:15:00,2025-02-03 15:15:00,2025,NSE-BANKNIFTY,CANDLESTICK,LONG,49548.8,49514.0,49203.16,50240.08,-34.8,-562.0,0,SQUARE OFF,0.3333,15,75000,bullish_engulfing,1,1,50.08,345.64,345.64,691.28,2025-02-03 11:00:00,99988.95000000001,1,99426.95000000001,neutral,True
2025-02-03,2025-02-03 13:15:00,2025-02-03 15:15:00,2025,NSE-BANKNIFTY,CANDLESTICK,LONG,49628.45,49514.0,49286.65,50312.04,-114.45,-1756.75,0,SQUARE OFF,0.3333,15,75000,bullish_engulfing,1,1,52.44,341.8,341.8,683.59,2025-02-03 13:00:00,99426.95000000001,1,97670.20000000001,neutral,True
2025-02-05,2025-02-05 13:15:00,2025-02-05 15:15:00,2025,NSE-BANKNIFTY,CANDLESTICK,LONG,50674.4,50532.0,50448.07,51127.06,-142.4,-2176.0,0,SQUARE OFF,0.3333,15,75000,tweezer_bottom,1,1,68.02,226.33,226.33,452.66,2025-02-05 13:00:00,97670.20000000001,1,95494.20000000001,neutral,True
2025-02-07,2025-02-07 11:15:00,2025-02-07 12:00:00,2025,NSE-BANKNIFTY,CANDLESTICK,LONG,50514.3,50333.63,50343.63,50855.64,-180.67,-2750.05,0,STOP LOSS,0.3333,15,75000,hammer,1,1,59.41,170.67,170.67,341.34,2025-02-07 11:00:00,95494.20000000001,1,92744.15000000001,neutral,True
