date,entry_time,exit_time,duration_min,year,month,day_of_week,instrument,instrument_symbol,instrument_type,contract,expiry_date,atm_strike,option_type,option_symbol,strategy,direction,entry_price,exit_price,stop_price,target_price,stop_pts,target_pts,rr_ratio,lot_size,lots_traded,margin_per_lot,margin_used,brokerage,pnl_pts,pnl_rs,win,exit_reason,pattern_name,pattern_stack,bias_score,signal_bar_time,atr14_15m,ema_fast,ema_slow,ema_trend,rsi14,vwap,vwap_dev_pct,capital_at_entry,lots_at_entry,equity_after,regime,macro_ok,fno_mode
2022-01-25,2022-01-25 12:45:00,2022-01-25 13:45:00,60,2022,1,1,BANKNIFTY,NSE-BANKNIFTY,OPT,NSE-BANKNIFTY-27Jan22-37300-PE,2022-01-27,37300,PE,NSE-BANKNIFTY-27Jan22-37300-PE,CANDLESTICK,SHORT,356.45,225.5,37500.52,36844.66,218.62,437.24,2.0,25,10,8911.25,89112.5,40,-130.95,-32777.5,0,STOP LOSS,tweezer_top,1,0.3333,12:30,218.62,37147.04,37234.6,-1,55.63,37081.73,0.5767,100000.0,10,67222.5,neutral,True,OPT
2022-01-27,2022-01-27 10:15:00,2022-01-27 13:00:00,165,2022,1,3,BANKNIFTY,NSE-BANKNIFTY,OPT,NSE-BANKNIFTY-03Feb22-37500-PE,2022-02-03,37500,PE,NSE-BANKNIFTY-03Feb22-37500-PE,CANDLESTICK,SHORT,775.8,613.25,37682.72,37106.81,191.97,383.94,2.0,25,3,19395.0,58185.0,40,-162.55,-12231.25,0,STOP LOSS,tweezer_top,1,0.3333,10:00,191.97,37453.32,37369.82,1,53.49,37384.47,0.3189,67222.5,3,54991.25,neutral,True,OPT
2022-02-11,2022-02-11 14:00:00,2022-02-11 14:30:00,30,2022,2,4,BANKNIFTY,NSE-BANKNIFTY,FUT,NSE-BANKNIFTY-24Feb22-FUT,2022-02-24,38700,PE,BANKNIFTY24FEB2238700PE,CANDLESTICK,SHORT,38730.0,38532.01,38829.0,38532.01,99.0,197.99,2.0,25,1,75000.0,75000.0,40,197.99,4909.75,1,TARGET HIT,dark_cloud|tweezer_top,2,0.6667,13:45,99.0,38718.53,38737.3,-1,50.56,38634.8,0.2856,54991.25,1,59901.0,neutral,True,FUT
2022-03-03,2022-03-03 11:15:00,2022-03-03 12:30:00,75,2022,3,3,BANKNIFTY,NSE-BANKNIFTY,OPT,NSE-BANKNIFTY-10Mar22-35300-CE,2022-03-10,35300,CE,NSE-BANKNIFTY-10Mar22-35300-CE,CANDLESTICK,LONG,774.85,669.35,35150.41,35650.48,166.69,333.38,2.0,25,2,19371.25,38742.5,40,-105.5,-5315.0,0,STOP LOSS,bullish_engulfing|tweezer_bottom,2,0.6667,11:00,166.69,35312.99,35515.84,-1,48.23,35432.54,-0.3394,59901.0,2,54586.0,neutral,True,OPT
2022-03-03,2022-03-03 13:45:00,2022-03-03 14:00:00,15,2022,3,3,BANKNIFTY,NSE-BANKNIFTY,FUT,NSE-BANKNIFTY-31Mar22-FUT,2022-03-31,35100,CE,BANKNIFTY31MAR2235100CE,CANDLESTICK,LONG,35137.7,35008.86,35008.86,35395.38,128.84,257.68,2.0,25,1,75000.0,75000.0,40,-128.84,-3261.0,0,STOP LOSS,bullish_engulfing,1,0.3333,13:30,128.84,35225.01,35409.44,-1,43.01,35327.11,-0.5724,54586.0,1,51325.0,neutral,True,FUT
2022-04-13,2022-04-13 12:45:00,2022-04-13 14:00:00,75,2022,4,2,BANKNIFTY,NSE-BANKNIFTY,OPT,NSE-BANKNIFTY-21Apr22-37800-CE,2022-04-21,37800,CE,NSE-BANKNIFTY-21Apr22-37800-CE,CANDLESTICK,LONG,408.0,382.0,37666.9,37976.2,103.1,206.2,2.0,25,4,10200.0,40800.0,40,-26.0,-2640.0,0,STOP LOSS,morning_star,1,0.3333,12:30,103.1,37813.44,37803.58,1,46.57,37874.64,-0.3027,51325.0,4,48685.0,neutral,True,OPT
2022-05-04,2022-05-04 13:15:00,2022-05-04 14:00:00,45,2022,5,2,BANKNIFTY,NSE-BANKNIFTY,OPT,NSE-BANKNIFTY-05May22-36000-CE,2022-05-05,36000,CE,NSE-BANKNIFTY-05May22-36000-CE,CANDLESTICK,LONG,251.5,165.5,35867.4,36165.6,99.4,198.8,2.0,25,6,6287.5,37725.0,40,-86.0,-12940.0,0,STOP LOSS,morning_star,1,0.3333,13:00,99.4,36047.31,36120.49,-1,42.75,36075.27,-0.3245,48685.0,6,35745.0,neutral,True,OPT
2022-05-25,2022-05-25 13:15:00,2022-05-25 13:30:00,15,2022,5,2,BANKNIFTY,NSE-BANKNIFTY,OPT,NSE-BANKNIFTY-26May22-34400-CE,2022-05-26,34400,CE,NSE-BANKNIFTY-26May22-34400-CE,CANDLESTICK,LONG,261.45,229.05,34372.21,34600.62,76.14,152.27,2.0,25,4,6536.25,26145.0,40,-32.4,-3280.0,0,STOP LOSS,hammer,1,0.3333,13:00,76.14,34476.48,34414.49,1,47.92,34551.31,-0.3424,35745.0,4,32465.0,neutral,True,OPT
2022-06-14,2022-06-14 10:15:00,2022-06-14 10:30:00,15,2022,6,1,BANKNIFTY,NSE-BANKNIFTY,OPT,NSE-BANKNIFTY-16Jun22-33400-PE,2022-06-16,33400,PE,NSE-BANKNIFTY-16Jun22-33400-PE,CANDLESTICK,SHORT,352.05,287.65,33485.67,33204.96,93.57,187.14,2.0,25,3,8801.25,26403.75,40,-64.4,-4870.0,0,STOP LOSS,tweezer_top,1,0.3333,10:00,93.57,33427.73,33779.85,-1,43.54,33314.1,0.2641,32465.0,3,27595.0,neutral,True,OPT
2022-07-01,2022-07-01 11:45:00,2022-07-01 12:45:00,60,2022,7,4,BANKNIFTY,NSE-BANKNIFTY,OPT,NSE-BANKNIFTY-07Jul22-33300-PE,2022-07-07,33300,PE,NSE-BANKNIFTY-07Jul22-33300-PE,CANDLESTICK,SHORT,422.65,386.45,33400.19,33164.12,78.69,157.38,2.0,25,2,10566.25,21132.5,40,-36.2,-1850.0,0,STOP LOSS,tweezer_top,1,0.3333,11:30,78.69,33343.27,33400.49,-1,47.43,33242.63,0.2615,27595.0,2,25745.0,neutral,True,OPT
