date,entry_ts,exit_ts,year,instrument,strategy,direction,entry,exit_price,stop,target,pnl_pts,pnl_rs,pnl_rs_1lot,win,exit_reason,spread_type,opt_type,short_strike,long_strike,short_prem,long_prem,net_credit,net_debit_exit,max_profit_pts,max_loss_pts,wing_width,breakeven,expiry,dte,atr14,vix_at_entry,vix_regime,gap_pts,spot_at_entry,bias_score,lots_used,margin_per_lot,total_margin,per_trade_risk_pct,macro_ok,regime,entry_time,exit_time,instrument_key
2024-01-19,2024-01-19 09:30:00,2024-01-19 11:00:00,2024,BSE-SENSEX,EXPIRY_SPREAD,BULL,152.55,215.22,305.1,45.77,-62.67,-706.7,-706.7,0,BREACH EXIT,Bull Put Spread,put,71700,71100,235.83,83.28,152.55,215.22,152.55,447.45,600,71547.45,2024-01-26,0,512.89,13.88,MID-LOW,400.0,72050.0,0.254,1,4474.5,4474.5,0.05,True,mid-low,09:30,11:00,SENSEX
2024-02-02,2024-02-02 09:30:00,2024-02-02 11:15:00,2024,BSE-SENSEX,EXPIRY_SPREAD,BEAR,109.3,280.57,218.6,32.79,-171.27,-1792.74,-1792.74,0,BREACH EXIT,Bear Call Spread,call,72700,73300,163.17,53.87,109.3,280.57,109.3,490.7,600,72809.3,2024-02-23,0,835.56,14.7,MID-LOW,-265.6,72083.35,0.182,1,4907.02,4907.02,0.05,True,mid-low,09:30,11:15,SENSEX
2024-03-01,2024-03-01 09:30:00,2024-03-01 10:30:00,2024,BSE-SENSEX,EXPIRY_SPREAD,BEAR,126.07,237.0,252.15,37.82,-110.92,-1189.22,-1189.22,0,BREACH EXIT,Bear Call Spread,call,73400,74000,193.48,67.41,126.07,237.0,126.07,473.93,600,73526.07,2024-03-29,0,773.5,15.24,MID,-323.3,72876.7,0.21,1,4739.27,4739.27,0.05,True,mid,09:30,10:30,SENSEX
2024-03-07,2024-03-07 09:30:00,2024-03-07 15:15:00,2024,BSE-SENSEX,EXPIRY_SPREAD,BEAR,115.96,0.0,231.93,34.79,115.96,1079.63,1079.63,1,SQUARE OFF,Bear Call Spread,call,74800,75400,177.48,61.52,115.96,0.0,115.96,484.04,600,74915.96,2024-03-29,0,859.36,13.61,MID-LOW,-363.55,74200.05,0.193,1,4840.37,4840.37,0.05,True,mid-low,09:30,15:15,SENSEX
2024-03-15,2024-03-15 09:30:00,2024-03-15 11:45:00,2024,BSE-SENSEX,EXPIRY_SPREAD,BEAR,108.21,17.57,216.43,32.46,90.65,826.46,826.46,1,TARGET HIT,Bear Call Spread,call,73800,74400,162.65,54.44,108.21,17.57,108.21,491.79,600,73908.21,2024-03-29,0,929.99,13.69,MID-LOW,-396.0,73163.0,0.18,1,4917.87,4917.87,0.05,True,mid-low,09:30,11:45,SENSEX
2024-04-05,2024-04-05 09:30:00,2024-04-05 14:00:00,2024,BSE-SENSEX,EXPIRY_SPREAD,BEAR,150.46,0.94,300.91,45.14,149.52,1415.19,1415.19,1,SQUARE OFF,Bear Call Spread,call,74700,75300,240.69,90.23,150.46,0.94,150.46,449.54,600,74850.46,2024-04-26,0,587.29,11.34,LOW,-200.0,74300.0,0.251,1,4495.44,4495.44,0.05,True,low,09:30,14:00,SENSEX
2024-04-26,2024-04-26 13:00:00,2024-04-26 13:00:00,2024,BSE-SENSEX,EXPIRY_SPREAD,BEAR,36.26,0.0,72.52,10.88,36.26,282.61,282.61,1,SQUARE OFF,Bear Call Spread,call,74500,75100,38.18,1.92,36.26,0.0,36.26,563.74,600,74536.26,2024-04-26,0,627.6,10.93,LOW,-369.0,74010.0,0.06,1,5637.39,5637.39,0.05,True,low,13:00,13:00,SENSEX
2024-05-03,2024-05-03 10:00:00,2024-05-03 11:15:00,2024,BSE-SENSEX,EXPIRY_SPREAD,BULL,121.06,254.84,242.12,36.32,-133.78,-1417.79,-1417.79,0,BREACH EXIT,Bull Put Spread,put,74700,74100,178.31,57.25,121.06,254.84,121.06,478.94,600,74578.94,2024-05-31,0,679.28,14.62,MID-LOW,150.9,75210.0,0.202,1,4789.4,4789.4,0.05,True,mid-low,10:00,11:15,SENSEX
2024-06-07,2024-06-07 09:30:00,2024-06-07 11:45:00,2024,BSE-SENSEX,EXPIRY_SPREAD,BEAR,76.05,190.2,152.11,22.82,-114.15,-1221.51,-1221.51,0,STOP LOSS,Bear Call Spread,call,76600,77200,111.29,35.23,76.05,190.2,76.05,523.95,600,76676.05,2024-06-28,0,1288.49,16.88,MID,-337.0,75690.0,0.127,1,5239.47,5239.47,0.05,True,mid,09:30,11:45,SENSEX
2024-06-21,2024-06-21 09:30:00,2024-06-21 11:45:00,2024,BSE-SENSEX,EXPIRY_SPREAD,BEAR,77.1,18.8,154.19,23.13,58.3,502.96,502.96,1,TARGET HIT,Bear Call Spread,call,78500,79100,114.51,37.42,77.1,18.8,77.1,522.9,600,78577.1,2024-06-28,0,1372.1,13.18,MID-LOW,-51.85,77569.8,0.128,1,5229.05,5229.05,0.05,True,mid-low,09:30,11:45,SENSEX
