trade_id,date,period,strategy,contract,strike,direction,entry,entry_value,exit_price,exit_value,pnl_rs,exit_reason,lots_at_entry,capital_at_entry,equity_after,entry_time,exit_time,year,instrument,stop,target,pnl_pts,win,bias_score,lots_used,capital_used,gap_pts,gap_pct,gap_vs_atr,orb_size,stop_pts,target_pts,atr14,be_triggered,regime,macro_ok,vwap_dev_pct,atm_strike,opt_type,expiry,dte,premium_entry,premium_exit,margin_per_lot,per_trade_risk_pct
1,2023-01-27,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2023-02-02-41000-PE,41000.0,SHORT,41000.0,13833.75,41237.9,16807.5,2933.75,SQUARE OFF,1,215009.75,217943.5,2023-01-27 10:00:00,2023-01-27 12:00:00,2023,NSE-BANKNIFTY,41227.41,40744.17,118.95,1,0.4433,1,16600.5,-133.0,,,,,,568.52,,neutral,True,,41000.0,PE,2023-02-02,6.0,553.35,672.3,16600.5,0.1
2,2023-02-01,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2023-02-02-41500-CE,41500.0,LONG,41516.2,13347.5,41502.3,13000.0,-387.5,SQUARE OFF,2,217943.5,217556.0,2023-02-01 11:30:00,2023-02-01 12:00:00,2023,NSE-BANKNIFTY,41250.0,41815.67,-6.95,0,1.0,1,8008.5,359.0,,,,,,665.49,,neutral,True,,41500.0,CE,2023-02-02,1.0,266.95,260.0,8008.5,0.1
3,2023-02-06,PRE-IS,VWAP_REV,NSE-BANKNIFTY-23Feb23-FUT,FUT,LONG,41637.0,2081850.0,41529.0,2076450.0,-5440.0,SQUARE OFF,2,217556.0,212116.0,2023-02-06 13:30:00,2023-02-06 14:45:00,2023,NSE-BANKNIFTY,41207.41,42281.39,-108.0,0,0.1979,30,75000.0,24.8,,,,429.59,644.39,859.19,,neutral,True,0.099,,,,,,,,
4,2023-02-17,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2023-02-23-41400-PE,41400.0,SHORT,41359.3,14675.0,41436.2,16597.5,1882.5,SQUARE OFF,2,212116.0,213998.5,2023-02-17 10:45:00,2023-02-17 12:00:00,2023,NSE-BANKNIFTY,41652.87,41029.03,38.45,1,0.4668,1,8805.0,-140.05,,,,,,733.94,,neutral,True,,41400.0,PE,2023-02-23,6.0,293.5,331.95,8805.0,0.1
5,2023-02-21,PRE-IS,VWAP_REV,NSE-BANKNIFTY-23Feb23-FUT,FUT,SHORT,40689.05,2034452.5,40650.75,2032537.5,1875.0,SQUARE OFF,2,213998.5,215873.5,2023-02-21 12:15:00,2023-02-21 14:45:00,2023,NSE-BANKNIFTY,41027.95,40180.69,38.3,1,0.4352,30,75000.0,25.25,,,,338.9,508.36,677.81,,neutral,True,0.218,,,,,,,,
6,2023-02-22,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2023-02-23-40400-PE,40400.0,SHORT,40382.5,15097.5,40684.8,26433.75,11296.25,SQUARE OFF,3,215873.5,227169.75,2023-02-22 10:00:00,2023-02-22 12:00:00,2023,NSE-BANKNIFTY,40593.68,40144.93,151.15,1,0.643,1,6039.0,-192.9,,,,,,527.94,,neutral,True,,40400.0,PE,2023-02-23,1.0,201.3,352.45,6039.0,0.1
7,2023-04-05,PRE-IS,ORB,NSE-BANKNIFTY-27Apr23-FUT,FUT,LONG,41219.3,2060965.0,41141.0,2057050.0,-3955.0,SQUARE OFF,2,227169.75,223214.75,2023-04-05 13:00:00,2023-04-05 15:30:00,2023,NSE-BANKNIFTY,41036.7,41424.72,-78.3,0,0.582,30,75000.0,95.25,0.232,0.209,172.6,182.6,205.42,456.49,0.0,neutral,True,,,,,,,,,
8,2023-04-11,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2023-04-13-41400-CE,41400.0,LONG,41404.3,17141.25,41508.7,26276.25,9095.0,SQUARE OFF,7,223214.75,232309.75,2023-04-11 10:00:00,2023-04-11 12:00:00,2023,NSE-BANKNIFTY,41227.86,41602.79,52.2,1,1.0,1,2938.5,353.0,,,,,,441.09,,neutral,True,,41400.0,CE,2023-04-13,2.0,97.95,150.15,2938.5,0.1
9,2023-04-18,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2023-04-20-42500-CE,42500.0,LONG,42495.45,16040.0,42439.65,13250.0,-2830.0,SQUARE OFF,4,232309.75,229479.75,2023-04-18 11:15:00,2023-04-18 12:00:00,2023,NSE-BANKNIFTY,42304.45,42710.33,-27.9,0,0.4867,1,4812.0,146.0,,,,,,477.5,,neutral,True,,42500.0,CE,2023-04-20,2.0,160.4,132.5,4812.0,0.1
10,2023-05-09,PRE-IS,ORB,NSE-BANKNIFTY-25May23-FUT,FUT,LONG,43495.0,2174750.0,43332.74,2166637.0,-8153.0,STOP LOSS,2,229479.75,221326.75,2023-05-09 12:30:00,2023-05-09 13:45:00,2023,NSE-BANKNIFTY,43332.74,43677.54,-162.26,0,0.0575,30,75000.0,75.0,0.173,0.185,197.2,162.26,182.54,405.65,0.0,neutral,True,,,,,,,,,
11,2023-05-10,PRE-IS,VWAP_REV,NSE-BANKNIFTY-25May23-FUT,FUT,LONG,43061.4,2153070.0,43225.05,2161252.5,8142.5,SQUARE OFF,2,221326.75,229469.25,2023-05-10 10:30:00,2023-05-10 14:45:00,2023,NSE-BANKNIFTY,42858.39,43365.91,163.65,1,0.0175,30,75000.0,11.0,,,,203.01,304.51,406.02,,neutral,True,0.009,,,,,,,,
12,2023-05-23,PRE-IS,ORB,NSE-BANKNIFTY-25May23-FUT,FUT,LONG,44013.25,2200662.5,43945.0,2197250.0,-3452.5,SQUARE OFF,2,229469.25,226016.75,2023-05-23 10:00:00,2023-05-23 15:15:00,2023,NSE-BANKNIFTY,43829.12,44220.4,-68.25,0,0.0742,30,75000.0,70.85,0.161,0.154,101.0,184.13,207.15,460.33,0.0,neutral,True,,,,,,,,,
13,2023-05-31,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2023-06-01-44100-PE,44100.0,SHORT,44070.0,16850.0,44231.5,24925.0,8035.0,SQUARE OFF,4,226016.75,234051.75,2023-05-31 11:45:00,2023-05-31 12:00:00,2023,NSE-BANKNIFTY,44215.03,43906.84,80.75,1,0.3957,1,5055.0,-118.7,,,,,,362.57,,neutral,True,,44100.0,PE,2023-06-01,1.0,168.5,249.25,5055.0,0.1
14,2023-06-16,PRE-IS,ORB,NSE-BANKNIFTY-28Jun23-FUT,FUT,LONG,43819.7,2190985.0,43958.37,2197918.5,6893.5,TARGET HIT,2,234051.75,240945.25,2023-06-16 10:00:00,2023-06-16 14:30:00,2023,NSE-BANKNIFTY,43696.44,43958.37,138.67,1,0.3754,30,75000.0,86.05,0.197,0.279,185.0,123.26,138.67,308.15,0.0,neutral,True,,,,,,,,,
