date,entry_ts,exit_ts,year,instrument,strategy,direction,entry,exit_price,stop,target,pnl_pts,pnl_rs,win,exit_reason,bias_score,lots_used,capital_used,atr14,stop_pts,target_pts,vah,val,poc,pierce_pts,profile_used,regime_start,days_held,regime,macro_ok,size_factor,trend_pct,per_trade_risk_pct
2022-01-07,2022-01-07 11:45:00,2022-01-07 15:15:00,2022,NSE-NIFTY,VP_TRAIL_SWING,SHORT,17833.1,17855.0,17986.66,17425.78,-41.9,-1087.5,0,SQUARE OFF,0.4726,25,55000,188.31,153.56,407.32,17860.0,17200.0,17290.0,89.0,full,,0,neutral,True,0.5,2.98,0.45
2022-01-27,2022-01-27 13:00:00,2022-01-28 09:15:00,2022,NSE-NIFTY,VP_TRAIL_SWING,LONG,17008.7,17200.0,16814.85,17219.67,171.3,4242.5,1,CONTRACT ROLL,0.1933,25,55000,300.0,193.85,210.97,17980.0,16920.0,17290.0,58.0,full,,0,neutral,True,0.5,-4.7,0.45
2022-02-08,2022-02-08 11:45:00,2022-02-09 14:45:00,2022,NSE-NIFTY,VP_TRAIL_SWING,LONG,17189.45,17474.86,16995.93,17474.86,265.41,6595.31,1,TARGET HIT,0.6071,25,55000,250.06,193.52,285.41,17660.0,17200.0,17570.0,151.8,full,,1,neutral,True,0.5,-0.89,0.45
2022-02-15,2022-02-15 11:30:00,2022-02-15 14:00:00,2022,NSE-NIFTY,VP_TRAIL_SWING,LONG,16998.75,17277.19,16782.77,17277.19,258.44,6420.94,1,TARGET HIT,1.0,25,55000,271.14,215.98,278.44,17660.0,17160.0,17370.0,323.0,full,,0,neutral,True,0.5,-2.35,0.45
2022-02-21,2022-02-21 11:30:00,2022-02-21 13:00:00,2022,NSE-NIFTY,VP_TRAIL_SWING,LONG,17269.25,17344.81,17052.84,17344.81,55.56,1349.06,1,TARGET HIT,0.2185,25,55000,256.06,216.41,75.56,17620.0,17160.0,17370.0,55.95,full,,0,neutral,True,1.0,-0.26,0.9
2022-03-04,2022-03-04 12:30:00,2022-03-04 14:00:00,2022,NSE-NIFTY,VP_TRAIL_SWING,LONG,16346.0,16346.0,16086.64,16574.0,-20.0,-540.0,0,BREAKEVEN,1.0,25,55000,326.81,259.36,228.0,16740.0,16480.0,16650.0,328.0,full,,0,neutral,True,0.5,-3.17,0.45
2022-03-07,2022-03-07 11:30:00,2022-03-07 14:15:00,2022,NSE-NIFTY,VP_TRAIL_SWING,LONG,15920.2,15722.98,15694.5,16467.55,-217.23,-5470.63,0,TRAIL STOP,1.0,25,55000,313.5,225.7,547.35,16780.0,16360.0,16650.0,602.8,full,,0,neutral,True,1.0,0.1,0.9
2022-03-08,2022-03-08 13:45:00,2022-03-10 09:15:00,2022,NSE-NIFTY,VP_TRAIL_SWING,LONG,15861.6,16452.9,15612.42,16452.9,571.3,14242.5,1,TARGET HIT,1.0,25,55000,333.61,249.18,591.3,16820.0,16160.0,16650.0,483.65,full,,2,neutral,True,0.5,-4.64,0.45
2022-03-23,2022-03-23 12:30:00,2022-03-23 15:15:00,2022,NSE-NIFTY,VP_TRAIL_SWING,SHORT,17247.7,17256.95,17468.7,16799.42,-29.25,-771.25,0,SQUARE OFF,1.0,25,55000,295.49,221.0,448.28,17020.0,15880.0,16650.0,389.6,full,,0,neutral,True,0.5,2.79,0.45
2022-03-24,2022-03-24 12:15:00,2022-03-24 15:15:00,2022,NSE-NIFTY,VP_TRAIL_SWING,SHORT,17181.75,17215.0,17396.72,16782.94,-53.25,-1371.25,0,SQUARE OFF,1.0,25,55000,288.58,214.97,398.81,17020.0,15840.0,16650.0,319.0,full,,0,neutral,True,0.5,3.65,0.45
2022-04-07,2022-04-07 12:15:00,2022-04-07 15:15:00,2022,NSE-NIFTY,VP_TRAIL_SWING,LONG,17854.15,17742.0,17688.69,18031.04,-132.15,-3343.75,0,SQUARE OFF,0.108,25,55000,231.54,165.46,176.89,18140.0,17760.0,18090.0,25.0,full,,0,neutral,True,1.0,2.1,0.9
2022-04-08,2022-04-08 12:00:00,2022-04-11 09:15:00,2022,NSE-NIFTY,VP_TRAIL_SWING,LONG,17795.75,17831.53,17608.09,18016.44,15.78,354.46,1,BREAKEVEN,0.2812,25,55000,226.54,187.66,220.69,18140.0,17720.0,18090.0,63.7,full,,1,neutral,True,1.0,1.59,0.9
2022-04-20,2022-04-20 12:45:00,2022-04-20 15:15:00,2022,NSE-NIFTY,VP_TRAIL_SWING,LONG,17208.4,17172.9,17038.97,17614.6,-55.5,-1427.5,0,SQUARE OFF,1.0,25,55000,235.39,169.43,406.2,18120.0,17500.0,17750.0,413.95,full,,0,neutral,True,0.5,-5.5,0.45
2022-06-08,2022-06-08 10:30:00,2022-06-08 10:45:00,2022,NSE-NIFTY,VP_TRAIL_SWING,LONG,16522.7,16522.7,16272.17,16573.17,-20.0,-540.0,0,BREAKEVEN,0.5815,25,55000,189.16,250.53,50.47,16680.0,16420.0,16590.0,110.0,full,,0,neutral,True,0.5,-0.9,0.45
