date,entry_ts,exit_ts,year,instrument,strategy,direction,entry,exit_price,stop,target,pnl_pts,pnl_rs,win,exit_reason,bias_score,lots_used,capital_used,atr14,stop_pts,target_pts,vah,val,poc,pierce_pts,profile_used,regime_start,days_held,regime,macro_ok,size_factor,trend_pct,per_trade_risk_pct
2024-01-18,2024-01-18 12:15:00,2024-01-18 12:45:00,2024,BSE-SENSEX,VP_TRAIL_SWING,LONG,71609.45,71267.87,71267.87,72630.0,-381.58,-3855.79,0,TRAIL STOP,0.3306,10,75000,512.89,341.58,1020.55,73280.0,71540.0,72630.0,169.55,full,,0,neutral,True,1.0,-0.47,0.9
2024-01-19,2024-01-19 10:00:00,2024-01-20 09:15:00,2024,BSE-SENSEX,VP_TRAIL_SWING,LONG,71911.85,71911.85,71119.02,72630.0,-40.0,-440.0,0,TRAIL STOP,0.2274,10,75000,527.65,792.83,718.15,72920.0,71340.0,72630.0,120.0,full,,1,neutral,True,0.5,-0.56,0.45
2024-01-24,2024-01-24 12:45:00,2024-01-25 09:15:00,2024,BSE-SENSEX,VP_TRAIL_SWING,LONG,70524.55,70896.3,70146.1,71910.0,331.75,3277.48,1,BREAKEVEN,0.6469,10,75000,707.4,378.45,1385.45,72280.0,70740.0,71910.0,457.65,full,,1,neutral,True,0.5,-3.79,0.45
2024-01-25,2024-01-25 11:15:00,2024-01-30 09:15:00,2024,BSE-SENSEX,VP_TRAIL_SWING,LONG,70500.0,72274.95,70137.52,71910.0,1734.95,17309.5,1,CONTRACT ROLL,1.0,10,75000,300.0,362.48,1410.0,72080.0,70580.0,71910.0,301.0,full,,0,neutral,True,0.5,-0.62,0.45
2024-03-14,2024-03-14 11:30:00,2024-03-14 14:00:00,2024,BSE-SENSEX,VP_TRAIL_SWING,LONG,73431.95,73431.95,72771.82,73910.0,-40.0,-440.0,0,BREAKEVEN,0.3927,10,75000,924.92,660.13,478.05,74120.0,73320.0,73910.0,363.2,full,,0,neutral,True,0.5,-1.15,0.45
2024-03-20,2024-03-20 11:30:00,2024-03-21 09:15:00,2024,BSE-SENSEX,VP_TRAIL_SWING,LONG,72300.0,72414.44,71786.58,73910.0,74.44,704.36,1,TRAIL STOP,1.0,10,75000,871.13,513.42,1610.0,77540.0,72860.0,73910.0,894.2,full,,1,neutral,True,0.5,-2.42,0.45
2024-04-12,2024-04-12 12:15:00,2024-04-15 09:15:00,2024,BSE-SENSEX,VP_TRAIL_SWING,SHORT,74725.0,74310.0,75100.59,74310.0,375.0,3710.0,1,TARGET HIT,0.3213,10,75000,497.78,375.59,415.0,74840.0,74180.0,74310.0,159.95,full,,1,neutral,True,0.5,1.66,0.45
2024-04-15,2024-04-15 12:15:00,2024-04-15 14:15:00,2024,BSE-SENSEX,VP_TRAIL_SWING,LONG,74099.95,73750.44,73750.44,74490.0,-389.51,-3935.06,0,TRAIL STOP,0.7031,10,75000,497.78,349.51,390.05,74860.0,74200.0,74490.0,350.0,full,,0,neutral,True,1.0,-0.03,0.9
2024-05-03,2024-05-03 12:30:00,2024-05-03 12:45:00,2024,BSE-SENSEX,VP_TRAIL_SWING,LONG,74545.0,74475.95,74242.25,75010.0,-109.05,-1130.5,0,TRAIL STOP,1.0,10,75000,300.0,302.75,465.0,75500.0,74680.0,75010.0,377.75,full,,0,neutral,True,1.0,1.73,0.9
2024-05-08,2024-05-08 11:45:00,2024-05-08 15:15:00,2024,BSE-SENSEX,VP_TRAIL_SWING,LONG,73930.0,73850.9,73518.61,74210.0,-119.1,-1231.0,0,SQUARE OFF,0.8372,10,75000,656.94,411.39,280.0,75060.0,74200.0,74210.0,550.0,full,,0,neutral,True,0.5,-1.63,0.45
2024-05-13,2024-05-13 11:30:00,2024-05-15 10:15:00,2024,BSE-SENSEX,VP_TRAIL_SWING,LONG,72750.0,73211.16,72202.47,74210.0,421.16,4171.62,1,BREAKEVEN,1.0,10,75000,675.57,547.53,1460.0,75500.0,73320.0,74210.0,970.0,full,,2,neutral,True,0.5,-1.98,0.45
2024-06-27,2024-06-27 10:30:00,2024-06-27 12:15:00,2024,BSE-SENSEX,VP_TRAIL_SWING,SHORT,78605.05,79072.5,79111.5,77270.0,-507.45,-5114.54,0,TRAIL STOP,1.0,10,75000,692.27,506.45,1335.05,77920.0,76780.0,77270.0,1053.05,full,,0,neutral,True,0.5,1.74,0.45
2024-07-04,2024-07-04 10:45:00,2024-07-04 15:15:00,2024,BSE-SENSEX,VP_TRAIL_SWING,SHORT,80055.0,80064.0,80276.85,79910.0,-49.0,-530.0,0,SQUARE OFF,0.7228,10,75000,300.0,221.85,145.0,80000.0,79380.0,79910.0,216.85,full,,0,neutral,True,0.5,1.77,0.45
2024-07-12,2024-07-12 11:15:00,2024-07-15 09:30:00,2024,BSE-SENSEX,VP_TRAIL_SWING,SHORT,80520.6,80520.6,81088.29,79870.0,-40.0,-440.0,0,TRAIL STOP,1.0,10,75000,471.26,567.69,650.6,80280.0,79700.0,79870.0,710.2,full,,1,neutral,True,1.0,0.11,0.9
2024-07-18,2024-07-18 10:45:00,2024-07-18 13:00:00,2024,BSE-SENSEX,VP_TRAIL_SWING,SHORT,80700.0,80919.87,81001.75,79870.0,-259.87,-2638.72,0,TRAIL STOP,0.6092,10,75000,496.5,301.75,830.0,80600.0,79620.0,79870.0,302.45,full,,0,neutral,True,0.5,0.51,0.45
2024-07-19,2024-07-19 11:15:00,2024-07-22 09:15:00,2024,BSE-SENSEX,VP_TRAIL_SWING,SHORT,80967.5,80472.26,81233.21,79870.0,455.24,4512.45,1,BREAKEVEN,0.2387,10,75000,544.51,265.71,1097.5,81000.0,79620.0,79870.0,130.0,full,,1,neutral,True,0.5,1.79,0.45
2024-07-23,2024-07-23 12:45:00,2024-07-24 09:15:00,2024,BSE-SENSEX,VP_TRAIL_SWING,LONG,80173.65,80357.23,79209.83,80690.0,143.58,1395.8,1,BREAKEVEN,1.0,10,75000,649.24,963.82,516.35,81060.0,80040.0,80690.0,704.9,full,,1,neutral,True,1.0,0.16,0.9
2024-08-01,2024-08-01 11:45:00,2024-08-02 09:15:00,2024,BSE-SENSEX,VP_TRAIL_SWING,SHORT,81914.7,81510.0,82088.2,81510.0,364.7,3607.0,1,TARGET HIT,0.4638,10,75000,405.74,173.5,404.7,81840.0,81500.0,81510.0,188.2,full,,1,neutral,True,0.5,2.09,0.45
2024-08-02,2024-08-02 10:30:00,2024-08-02 14:45:00,2024,BSE-SENSEX,VP_TRAIL_SWING,LONG,81340.0,81075.65,80998.65,81810.0,-304.35,-3083.55,0,TRAIL STOP,0.9863,10,75000,405.74,341.35,470.0,82060.0,81480.0,81810.0,400.2,full,,0,neutral,True,1.0,2.31,0.9
2024-09-06,2024-09-06 12:00:00,2024-09-06 14:30:00,2024,BSE-SENSEX,VP_TRAIL_SWING,LONG,81605.0,81376.18,81376.18,82650.0,-268.82,-2728.22,0,TRAIL STOP,1.0,10,75000,413.61,228.82,1045.0,82740.0,81900.0,82650.0,441.1,full,,0,neutral,True,1.0,0.28,0.9
2024-09-13,2024-09-13 11:30:00,2024-09-13 15:15:00,2024,BSE-SENSEX,VP_TRAIL_SWING,SHORT,82831.3,82832.05,83174.56,81470.0,-40.75,-447.5,0,SQUARE OFF,1.0,10,75000,622.78,343.26,1361.3,82360.0,81380.0,81470.0,690.0,full,,0,neutral,True,1.0,0.4,0.9
2024-09-17,2024-09-17 10:15:00,2024-09-17 15:15:00,2024,BSE-SENSEX,VP_TRAIL_SWING,SHORT,82990.0,83198.45,83311.57,81470.0,-248.45,-2524.5,0,SQUARE OFF,1.0,10,75000,557.84,321.57,1520.0,82480.0,81300.0,81470.0,720.0,full,,0,neutral,True,0.5,1.84,0.45
2024-09-18,2024-09-18 13:00:00,2024-09-19 09:15:00,2024,BSE-SENSEX,VP_TRAIL_SWING,SHORT,83050.0,83050.0,83473.63,81470.0,-40.0,-440.0,0,TRAIL STOP,1.0,10,75000,561.51,423.63,1580.0,82560.0,81300.0,81470.0,802.0,full,,1,neutral,True,0.5,1.28,0.45
2024-09-27,2024-09-27 11:00:00,2024-10-01 09:15:00,2024,BSE-SENSEX,VP_TRAIL_SWING,SHORT,85840.75,85810.0,86143.52,85410.0,-9.25,-132.5,0,CONTRACT ROLL,-0.0543,10,75000,300.0,302.77,430.75,86040.0,84040.0,85410.0,-16.3,full,,0,neutral,True,0.5,2.66,0.45
2024-10-18,2024-10-18 10:45:00,2024-10-21 09:30:00,2024,BSE-SENSEX,VP_TRAIL_SWING,LONG,81147.0,81392.72,80606.71,83110.0,205.72,2017.21,1,TRAIL STOP,1.0,10,75000,610.56,540.29,1963.0,84800.0,82080.0,83110.0,1350.0,full,,1,neutral,True,0.5,-0.73,0.45
2024-10-25,2024-10-25 12:45:00,2024-10-28 09:30:00,2024,BSE-SENSEX,VP_TRAIL_SWING,LONG,79440.0,79485.46,79135.77,80230.0,5.46,14.61,1,TRAIL STOP,0.3337,10,75000,629.08,304.23,790.0,81800.0,79460.0,80230.0,209.9,full,,1,neutral,True,0.5,-1.23,0.45
2024-10-28,2024-10-28 10:45:00,2024-10-29 12:00:00,2024,BSE-SENSEX,VP_TRAIL_SWING,SHORT,80200.0,79887.0,80615.82,79410.0,273.0,2689.98,1,BREAKEVEN,0.2819,10,75000,674.0,415.82,790.0,80300.0,79200.0,79410.0,190.0,full,,1,neutral,True,1.0,-2.47,0.9
