date,entry_ts,exit_ts,year,instrument,strategy,direction,entry,exit_price,stop,target,pnl_pts,pnl_rs,win,exit_reason,bias_score,lots_used,capital_used,atr14,stop_pts,target_pts,vah,val,poc,pierce_pts,profile_used,regime_start,days_held,regime,macro_ok,size_factor,trend_pct,per_trade_risk_pct
2026-02-20,2026-02-20 10:15:00,2026-02-20 15:15:00,2026,BSE-SENSEX,VP_TRAIL_SWING,LONG,82880.05,82872.6,82432.1,84090.0,-47.45,-514.5,0,SQUARE OFF,0.3656,10,75000,721.23,447.95,1209.95,84620.0,82840.0,84090.0,263.65,full,,0,neutral,True,0.5,-1.73,0.45
2026-02-24,2026-02-24 13:45:00,2026-02-25 09:15:00,2026,BSE-SENSEX,VP_TRAIL_SWING,LONG,82282.95,82553.86,81913.62,84090.0,230.91,2269.07,1,TRAIL STOP,1.0,10,75000,684.29,369.33,1807.05,84620.0,82840.0,84090.0,795.0,full,,1,neutral,True,1.0,-0.19,0.9
2026-03-09,2026-03-09 10:45:00,2026-03-10 09:45:00,2026,BSE-SENSEX,VP_TRAIL_SWING,LONG,77428.9,78053.0,76715.29,79770.0,584.1,5800.96,1,BREAKEVEN,1.0,10,75000,1116.91,713.61,2341.1,80580.0,78920.0,79770.0,1966.55,full,,1,neutral,True,0.5,-3.58,0.45
2026-03-10,2026-03-10 10:30:00,2026-03-11 09:15:00,2026,BSE-SENSEX,VP_TRAIL_SWING,LONG,78472.25,78472.25,77868.97,79770.0,-40.0,-440.0,0,TRAIL STOP,0.2129,10,75000,1163.06,603.28,1297.75,81060.0,78340.0,79770.0,247.65,full,,1,neutral,True,0.5,-4.89,0.45
2026-03-16,2026-03-16 11:00:00,2026-03-17 11:15:00,2026,BSE-SENSEX,VP_TRAIL_SWING,LONG,74580.0,75533.84,73888.42,77510.0,913.84,9098.37,1,BREAKEVEN,1.0,10,75000,1175.72,691.58,2930.0,78200.0,75360.0,77510.0,1231.65,sub,2026-03-09,1,neutral,True,0.5,-5.63,0.45
2026-03-24,2026-03-24 11:30:00,2026-03-25 09:30:00,2026,BSE-SENSEX,VP_TRAIL_SWING,LONG,73482.65,75050.0,72853.0,75050.0,1527.35,15233.5,1,TARGET HIT,1.0,10,75000,1189.57,629.65,1567.35,77340.0,74360.0,75050.0,1271.35,sub,2026-03-09,1,neutral,True,0.5,-3.86,0.45
2026-04-02,2026-04-02 13:15:00,2026-04-02 13:30:00,2026,BSE-SENSEX,VP_TRAIL_SWING,LONG,73115.15,73030.95,72536.15,74250.0,-124.2,-1282.0,0,TRAIL STOP,1.0,10,75000,300.0,579.0,1134.85,75140.0,73240.0,74250.0,643.85,full,,0,neutral,True,1.0,1.63,0.9
2026-04-16,2026-04-16 11:45:00,2026-04-16 14:30:00,2026,BSE-SENSEX,VP_TRAIL_SWING,SHORT,78146.0,78146.0,78828.91,77510.0,-40.0,-440.0,0,BREAKEVEN,0.559,10,75000,1144.81,682.91,636.0,77960.0,76540.0,77510.0,639.95,sub,2026-04-08,0,neutral,True,0.5,4.34,0.45
2026-04-20,2026-04-20 13:15:00,2026-04-21 09:15:00,2026,BSE-SENSEX,VP_TRAIL_SWING,SHORT,78650.0,78650.0,79244.54,77870.0,-40.0,-440.0,0,TRAIL STOP,0.6178,10,75000,1073.19,594.54,780.0,78360.0,76900.0,77870.0,663.0,sub,2026-04-08,1,neutral,True,0.5,2.18,0.45
2026-04-22,2026-04-22 10:00:00,2026-04-22 15:15:00,2026,BSE-SENSEX,VP_TRAIL_SWING,SHORT,78502.5,78596.95,79569.09,77870.0,-134.45,-1384.5,0,SQUARE OFF,0.8281,10,75000,1020.46,1066.59,632.5,78520.0,76900.0,77870.0,845.0,sub,2026-04-08,0,neutral,True,0.5,2.95,0.45
2026-04-30,2026-04-30 12:00:00,2026-05-04 09:15:00,2026,BSE-SENSEX,VP_TRAIL_SWING,LONG,76649.0,77900.05,76108.94,77890.0,1211.05,12070.5,1,CONTRACT ROLL,1.0,10,75000,300.0,540.06,1241.0,78460.0,76840.0,77890.0,566.6,sub,2026-04-08,0,neutral,True,0.5,-1.52,0.45
2026-05-07,2026-05-07 12:45:00,2026-05-07 13:15:00,2026,BSE-SENSEX,VP_TRAIL_SWING,SHORT,78459.95,78330.0,78809.9,78330.0,89.95,859.5,1,TARGET HIT,0.433,10,75000,300.0,349.95,129.95,78620.0,77680.0,78330.0,129.9,full,,0,neutral,True,0.5,2.12,0.45
