date,day_of_week,instrument,expiry_week,entry_time,exit_time,entry_price,exit_price,direction,move_pts,pnl_pts,pnl_inr_1lot,result,score,signal_count,sig_oi_quadrant,sig_futures_basis,sig_pcr,sig_oi_velocity,sig_strike_defense,sig_fii_signature,pcr_value,spot_price,call_wall,put_wall,dte,regime_5d_ret_pct,extreme_regime,has_live_oi,fii_fut_level,fii_cash_lag1,notes
2026-01-02,Friday,NIFTY-FUT-NSE,False,2026-01-02 09:15:00,2026-01-02 15:29:00,26315.0,26478.3,LONG,163.3,163.3,4082.5,WIN,0.4999,6,1,1,-1,1,1,-1,1.131,26146.55,27000,26000,4,0.4,False,True,-1,-1,"long_buildup p=+17 oi=+158 | contango fut=26315 spot=26147 basis=+0.56% | bearish_pcr pcr=1.13 ma=1.13 | put_writing_dominant atm_net_vel=350.1 ce=443.6 pe=793.7 | lower_range_bullish ltp=26315 call=27000 put=26000 pos=0.32 | FII_SHORT [fut_level=SHORT, cash=SELL, oi_velocity_convergence=360.8]"
2026-01-07,Wednesday,NIFTY-FUT-NSE,False,2026-01-07 09:15:00,2026-01-07 15:29:00,26229.4,26237.9,LONG,8.5,8.5,212.5,WIN,0.7463,3,1,0,0,1,1,0,0.914,26178.7,27000,26150,6,0.19,False,True,-1,0,"long_buildup p=+5 oi=+1209 | neutral fut=26229 spot=26179 basis=+0.06% | neutral_pcr pcr=0.91 ma=1.13 | put_writing_dominant atm_net_vel=64.6 ce=244.9 pe=309.5 | near_put_wall ltp=26229 call=27000 put=26150 pos=0.09 | FII_mixed [fut_level=SHORT, oi_velocity_convergence=53.4]"
2026-01-08,Thursday,NIFTY-FUT-NSE,False,2026-01-08 09:15:00,2026-01-08 15:29:00,26189.0,25965.0,SHORT,-224.0,224.0,5600.0,WIN,-0.454,5,-1,0,1,-1,1,-1,0.887,26140.75,27000,26000,5,-0.02,False,True,-1,-1,"short_buildup p=-14 oi=+322 | neutral fut=26189 spot=26141 basis=+0.07% | bullish_pcr pcr=0.89 ma=1.08 | call_writing_dominant atm_net_vel=-175.2 ce=309.1 pe=133.9 | lower_range_bullish ltp=26189 call=27000 put=26000 pos=0.19 | FII_SHORT [fut_level=SHORT, cash=SELL, oi_velocity_convergence=-209.8]"
2026-01-14,Wednesday,NIFTY-FUT-NSE,False,2026-01-14 09:15:00,2026-01-14 15:29:00,25741.6,25728.0,LONG,-13.6,-13.6,-340.0,LOSS,0.592,4,1,0,1,1,1,0,0.791,25732.3,26000,25700,6,-1.56,False,True,-1,0,"long_buildup p=+5 oi=+1186 | neutral fut=25742 spot=25732 basis=-0.10% | bullish_pcr pcr=0.79 ma=0.77 | put_writing_dominant atm_net_vel=209.3 ce=162.8 pe=372.1 | near_put_wall ltp=25742 call=26000 put=25700 pos=0.14 | FII_mixed [fut_level=SHORT, oi_velocity_convergence=223.2]"
2026-01-16,Friday,NIFTY-FUT-NSE,False,2026-01-16 09:15:00,2026-01-16 15:29:00,25775.4,25749.4,SHORT,-26.0,26.0,650.0,WIN,-0.3333,6,-1,1,1,-1,-1,-1,0.81,25665.6,26000,25000,4,-0.82,False,True,-1,-1,"short_buildup p=-6 oi=+266 | contango fut=25775 spot=25666 basis=+0.34% | bullish_pcr pcr=0.81 ma=0.76 | call_writing_dominant atm_net_vel=-400.3 ce=1435.8 pe=1035.5 | upper_range_bearish ltp=25775 call=26000 put=25000 pos=0.78 | FII_SHORT [fut_level=SHORT, cash=SELL, oi_velocity_convergence=-549.5]"
2026-01-22,Thursday,NIFTY-FUT-NSE,False,2026-01-22 09:15:00,2026-01-22 15:29:00,25319.9,25375.0,LONG,55.1,55.1,1377.5,WIN,0.3462,6,-1,1,1,1,1,-1,0.783,25157.5,26000,25000,5,-1.98,False,True,-1,-1,"short_buildup p=-3 oi=+428 | contango fut=25320 spot=25158 basis=+0.54% | bullish_pcr pcr=0.78 ma=0.75 | put_writing_dominant atm_net_vel=165.2 ce=1019.3 pe=1184.6 | lower_range_bullish ltp=25320 call=26000 put=25000 pos=0.32 | FII_SHORT [fut_level=SHORT, cash=SELL, oi_velocity_convergence=67.9]"
2026-02-04,Wednesday,NIFTY-FUT-NSE,False,2026-02-04 09:15:00,2026-02-04 15:29:00,25740.7,25830.0,LONG,89.3,89.3,2232.5,WIN,0.3123,4,-1,0,0,1,-1,1,0.959,25727.55,26000,25000,6,1.52,False,True,-1,1,"long_unwind p=-3 oi=-204 | neutral fut=25741 spot=25728 basis=-0.08% | neutral_pcr pcr=0.96 ma=0.97 | put_writing_dominant atm_net_vel=65.7 ce=203.5 pe=269.2 | upper_range_bearish ltp=25741 call=26000 put=25000 pos=0.74 | FII_LONG [fut_level=SHORT, cash=BUY, oi_velocity_convergence=100.8]"
2026-02-05,Thursday,NIFTY-FUT-NSE,False,2026-02-05 09:15:00,2026-02-05 15:29:00,25797.7,25720.0,SHORT,-77.7,77.7,1942.5,WIN,-0.4744,4,1,0,0,-1,-1,-1,1.07,25776.0,26000,25000,5,1.4,False,True,-1,1,"short_cover p=+1 oi=-26 | neutral fut=25798 spot=25776 basis=-0.03% | neutral_pcr pcr=1.07 ma=0.99 | call_writing_dominant atm_net_vel=-251.5 ce=401.4 pe=149.9 | upper_range_bearish ltp=25798 call=26000 put=25000 pos=0.80 | FII_SHORT [fut_level=SHORT, cash=BUY, oi_velocity_convergence=-286.1]"
2026-02-06,Friday,NIFTY-FUT-NSE,False,2026-02-06 09:15:00,2026-02-06 15:29:00,25657.3,25729.8,SHORT,72.5,-72.5,-1812.5,LOSS,-0.3291,5,-1,0,1,-1,1,-1,0.812,25642.8,27000,25000,4,1.27,False,True,-1,-1,"long_unwind p=-2 oi=-81 | neutral fut=25657 spot=25643 basis=-0.03% | bullish_pcr pcr=0.81 ma=0.94 | call_writing_dominant atm_net_vel=-482.5 ce=1412.3 pe=929.9 | lower_range_bullish ltp=25657 call=27000 put=25000 pos=0.33 | FII_SHORT [fut_level=SHORT, cash=SELL, oi_velocity_convergence=-500.8]"
2026-02-09,Monday,NIFTY-FUT-NSE,False,2026-02-09 09:15:00,2026-02-09 15:29:00,25906.7,25909.0,SHORT,2.3,-2.3,-57.5,LOSS,-0.3339,4,-1,1,0,-1,0,-1,0.965,25693.7,27000,25000,1,2.41,False,True,-1,1,"long_unwind p=-3 oi=-472 | contango fut=25907 spot=25694 basis=+0.81% | neutral_pcr pcr=0.96 ma=0.96 | call_writing_dominant atm_net_vel=-517.2 ce=1720.1 pe=1202.9 | mid_range ltp=25907 call=27000 put=25000 pos=0.45 | FII_SHORT [fut_level=SHORT, cash=BUY, oi_velocity_convergence=-698.5]"
2026-02-11,Wednesday,NIFTY-FUT-NSE,False,2026-02-11 09:15:00,2026-02-11 15:29:00,26041.5,25989.7,SHORT,-51.8,51.8,1295.0,WIN,-0.325,6,-1,1,-1,-1,1,-1,1.133,25935.15,27000,25900,6,0.62,False,True,-1,0,"long_unwind p=-2 oi=-42 | contango fut=26042 spot=25935 basis=+0.28% | bearish_pcr pcr=1.13 ma=1.02 | call_writing_dominant atm_net_vel=-188.8 ce=483.2 pe=294.4 | near_put_wall ltp=26042 call=27000 put=25900 pos=0.13 | FII_SHORT [fut_level=SHORT, oi_velocity_convergence=-206.5]"
