ts,ltp,direction,score,signal_count,oi_quadrant,futures_basis,pcr_signal,oi_velocity,strike_defense,fii_signature,call_wall,put_wall,pcr_live,notes,trade_date,pcr,fii_fut,fii_cash,actual_dir,move_pts
2026-03-27 00:00:00,52237.0,0,-0.156,2,1,-1,0,0,0,0,,,0.0,short_cover p=+50 oi=-34 | backwardation fut=52237 spot=52159 basis=-0.29% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-03-27,1.0,0,0,-1,-1164.0
2026-03-30 00:00:00,50275.0,-1,-0.3261,2,1,-1,0,0,0,0,,,0.0,short_cover p=+4 oi=-37 | backwardation fut=50275 spot=52275 basis=-4.26% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-03-30,1.0,0,0,-1,-1225.0
2026-04-01 00:00:00,51780.0,1,0.6164,2,1,1,0,0,0,0,,,0.0,long_buildup p=+47 oi=+9 | contango fut=51780 spot=50275 basis=+2.55% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-01,1.0,0,0,1,92.0
2026-04-02 00:00:00,51910.2,0,0.2894,2,-1,1,0,0,0,0,,,0.0,short_buildup p=-35 oi=+8 | contango fut=51910 spot=51449 basis=+0.46% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-02,1.0,0,0,1,1098.2
2026-04-06 00:00:00,52885.4,0,0.1432,2,-1,1,0,0,0,0,,,0.0,long_unwind p=-248 oi=-26 | contango fut=52885 spot=51549 basis=+2.15% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-06,1.0,0,0,1,1065.0
2026-04-07 00:00:00,52849.0,0,-0.5252,1,-1,0,0,0,0,0,,,0.0,short_buildup p=-115 oi=+5 | neutral fut=52849 spot=52609 basis=+0.02% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-07,1.0,0,0,1,293.8
2026-04-08 00:00:00,55990.0,1,0.7417,2,1,1,0,0,0,0,,,0.0,long_buildup p=+73 oi=+125 | contango fut=55990 spot=52716 basis=+5.77% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-08,1.0,0,0,1,1117.2
2026-04-09 00:00:00,55059.8,-1,-0.5369,2,-1,-1,0,0,0,0,,,0.0,long_unwind p=-75 oi=-14 | backwardation fut=55060 spot=55704 basis=-1.59% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-09,1.0,0,0,-1,-530.6
2026-04-10 00:00:00,56105.6,1,0.653,2,1,1,0,0,0,0,,,0.0,long_buildup p=+25 oi=+19 | contango fut=56106 spot=54822 basis=+1.90% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-10,1.0,0,0,1,845.6
2026-04-13 00:00:00,55748.0,0,-0.0124,2,1,-1,0,0,0,0,,,0.0,long_buildup p=+96 oi=+65 | backwardation fut=55748 spot=55913 basis=-0.73% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-13,1.0,0,0,1,648.0
2026-04-15 00:00:00,56380.0,1,1.0,2,1,1,0,0,0,0,,,0.0,long_buildup p=+133 oi=+65 | contango fut=56380 spot=55605 basis=+0.96% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-15,1.0,0,0,-1,-330.0
