feature,ic_pearson,ic_p_pvalue,ic_spearman,ic_s_pvalue,ic_p_ci_lo,ic_p_ci_hi,sign_match,n,feat_std,abs_ic_p
poi_client_fut_stk_short,-0.3508375454592384,5.046922307233452e-06,-0.26033471359558313,0.0008522612559933514,-0.5415739621630608,-0.1736381423720211,0.43478260869565216,161,40102.62011280796,0.3508375454592384
deleq_universe_notional,-0.2852306991206018,0.0002449755364508765,-0.23375891419369682,0.002841186743535232,-0.41720719027593783,-0.14564482098911904,0.4472049689440994,161,2740401219.3207293,0.2852306991206018
poi_client_total_long,-0.2684425335556317,0.0005752340267988244,-0.22450253048079136,0.004195690029932428,-0.4119277849036867,-0.10803807361527162,0.4472049689440994,161,1509086.9833526642,0.2684425335556317
poi_client_total_short,-0.2573264859256761,0.0009830288548093903,-0.22351621808143549,0.004369801290391927,-0.4040826316286928,-0.09452783310096731,0.4472049689440994,161,1331336.6273026294,0.2573264859256761
mkt_stk_opt_crore,-0.2540793691711405,0.0011446419950701368,-0.2406199677938809,0.002107575744232834,-0.4046105147818907,-0.10858335986258016,0.39751552795031053,161,150085.31072114536,0.2540793691711405
fii_stats_stk_opt_sell_crore,-0.2495677041044258,0.001409693482643739,-0.2526800092017484,0.0012215134400999739,-0.3992352553243397,-0.10575713270658418,0.38509316770186336,161,11849.461016662224,0.2495677041044258
mkt_stk_opt_contracts,-0.24938288425030294,0.0014216603273959284,-0.23551874856222688,0.002633742540797298,-0.4018297176801871,-0.10675511641828735,0.38509316770186336,161,2137128.2934439764,0.24938288425030294
fii_stats_stk_opt_sell_contracts,-0.24799127633745113,0.0015147867750762915,-0.24889579020013808,0.0014536447786245694,-0.3971465158784946,-0.1086278270372812,0.38509316770186336,161,165702.22644826246,0.24799127633745113
poi_pro_total_short,-0.24600055457885953,0.001657699393086799,-0.21063664596273293,0.007318057784233658,-0.3509744131552133,-0.10897969564756525,0.45962732919254656,161,975946.6890679791,0.24600055457885953
fii_stats_stk_opt_buy_crore,-0.24279320643113803,0.0019139767705568602,-0.243377616747182,0.0018647514532370085,-0.4026956636689811,-0.10714990238287189,0.39751552795031053,161,11954.795166205282,0.24279320643113803
poi_pro_total_long,-0.24254231814223826,0.0019354696041256354,-0.21350356567747875,0.0065405087836468015,-0.35999197215771817,-0.09793301736358752,0.45962732919254656,161,846442.689100737,0.24254231814223826
fii_stats_stk_opt_buy_contracts,-0.24111660314999844,0.002061828897473109,-0.24443869335173685,0.0017783108739792006,-0.40776368511630806,-0.10053616739159832,0.39751552795031053,161,167110.10267246197,0.24111660314999844
poi_dii_total_short,-0.21422313687906275,0.006357292066862411,-0.1739906832298137,0.02728915109994571,-0.3584803721191969,-0.07194354932987729,0.484472049689441,161,271288.90286043973,0.21422313687906275
poi_pro_fut_stk_short,-0.20608512785430125,0.00872187180454696,-0.18674085576259494,0.017696069254689306,-0.3347854698282665,-0.08494681111779182,0.422360248447205,161,115505.10288653265,0.20608512785430125
