DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
04-MAY-2026,FUTCUR,EURINR,08-MAY-2026,111.2450000
04-MAY-2026,FUTCUR,EURINR,15-MAY-2026,111.3650000
04-MAY-2026,FUTCUR,EURINR,22-MAY-2026,111.4875000
04-MAY-2026,FUTCUR,EURINR,26-MAY-2026,111.7425000
04-MAY-2026,FUTCUR,EURINR,29-MAY-2026,111.6075000
04-MAY-2026,FUTCUR,EURINR,05-JUN-2026,111.6300000
04-MAY-2026,FUTCUR,EURINR,12-JUN-2026,111.7275000
04-MAY-2026,FUTCUR,EURINR,19-JUN-2026,111.8275000
04-MAY-2026,FUTCUR,EURINR,25-JUN-2026,111.9125000
04-MAY-2026,FUTCUR,EURINR,03-JUL-2026,112.0275000
04-MAY-2026,FUTCUR,EURINR,10-JUL-2026,112.1275000
04-MAY-2026,FUTCUR,EURINR,17-JUL-2026,112.2275000
04-MAY-2026,FUTCUR,EURINR,24-JUL-2026,112.3275000
04-MAY-2026,FUTCUR,EURINR,29-JUL-2026,112.4000000
04-MAY-2026,FUTCUR,EURINR,27-AUG-2026,112.8150000
04-MAY-2026,FUTCUR,EURINR,28-SEP-2026,113.0300000
04-MAY-2026,FUTCUR,EURINR,28-OCT-2026,113.4125000
04-MAY-2026,FUTCUR,EURINR,26-NOV-2026,113.7825000
04-MAY-2026,FUTCUR,EURINR,29-DEC-2026,114.5975000
04-MAY-2026,FUTCUR,EURINR,27-JAN-2027,115.0200000
04-MAY-2026,FUTCUR,EURINR,24-FEB-2027,115.4275000
04-MAY-2026,FUTCUR,EURINR,29-MAR-2027,115.9125000
04-MAY-2026,FUTCUR,EURINR,28-APR-2027,116.3550000
04-MAY-2026,FUTCUR,EURUSD,08-MAY-2026,1.1677000
04-MAY-2026,FUTCUR,EURUSD,15-MAY-2026,1.1681000
04-MAY-2026,FUTCUR,EURUSD,22-MAY-2026,1.1685000
04-MAY-2026,FUTCUR,EURUSD,26-MAY-2026,1.1687000
04-MAY-2026,FUTCUR,EURUSD,29-MAY-2026,1.1689000
04-MAY-2026,FUTCUR,EURUSD,05-JUN-2026,1.1693000
04-MAY-2026,FUTCUR,EURUSD,12-JUN-2026,1.1697000
04-MAY-2026,FUTCUR,EURUSD,19-JUN-2026,1.1700000
04-MAY-2026,FUTCUR,EURUSD,25-JUN-2026,1.1704000
04-MAY-2026,FUTCUR,EURUSD,03-JUL-2026,1.1708000
04-MAY-2026,FUTCUR,EURUSD,10-JUL-2026,1.1712000
04-MAY-2026,FUTCUR,EURUSD,17-JUL-2026,1.1716000
04-MAY-2026,FUTCUR,EURUSD,29-JUL-2026,1.1723000
04-MAY-2026,FUTCUR,EURUSD,27-AUG-2026,1.1739000
04-MAY-2026,FUTCUR,EURUSD,28-SEP-2026,1.1757000
04-MAY-2026,FUTCUR,EURUSD,28-OCT-2026,1.1773000
04-MAY-2026,FUTCUR,EURUSD,26-NOV-2026,1.1790000
04-MAY-2026,FUTCUR,EURUSD,29-DEC-2026,1.1808000
04-MAY-2026,FUTCUR,EURUSD,27-JAN-2027,1.1824000
