Date,ISIN,Scrip Name,Symbol,Notional Open Interest,Portfolio-wise Futures Equivalent Open Interest
04-05-2026,INE585B01010,MARUTI SUZUKI INDIA LTD.,MARUTI,5947550,3268776.88910350
04-05-2026,INE095N01031,NBCC (INDIA) LIMITED,NBCC,100165000,73578968.52257000
04-05-2026,INE040A01034,HDFC BANK LTD,HDFCBANK,441155500,334634271.10765600
04-05-2026,INE481G01011,ULTRATECH CEMENT LIMITED,ULTRACEMCO,4445350,2838101.18855300
04-05-2026,INE061F01013,FORTIS HEALTHCARE LTD,FORTIS,11729625,9459120.22004925
04-05-2026,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,176313600,103087623.58073600
04-05-2026,INE066F01020,HINDUSTAN AERONAUTICS LTD,HAL,10973250,7016069.59238450
04-05-2026,INE663F01032,INFO EDGE (I) LTD,NAUKRI,13502450,10605276.48737500
04-05-2026,INE476A01022,CANARA BANK,CANBK,345485250,219197178.12397250
04-05-2026,INE121J01017,INDUS TOWERS LIMITED,INDUSTOWER,131187300,83601305.24749800
04-05-2026,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,3872250,2768711.95566250
04-05-2026,INE022Q01020,INDIAN ENERGY EXC LTD,IEX,141104250,73688531.27013750
04-05-2026,INE092T01019,IDFC FIRST BANK LIMITED,IDFCFIRSTB,572870375,406174150.23084875
04-05-2026,INE455K01017,POLYCAB INDIA LIMITED,POLYCAB,3922625,2040209.59685750
04-05-2026,INE249Z01020,MAZAGON DOCK SHIPBUIL LTD,MAZDOCK,11171950,5305744.71732400
04-05-2026,INE148I01020,SAMMAAN CAPITAL LIMITED,SAMMAANCAP,142265500,107667397.29882100
04-05-2026,INE271C01023,DLF LIMITED,DLF,58447275,46016986.28230875
04-05-2026,INE745G01043,MULTI COMMODITY EXCHANGE,MCX,20730625,13459574.68929375
04-05-2026,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,17313950,11914178.39133000
04-05-2026,INE619A01035,PATANJALI FOODS LIMITED,PATANJALI,41510125,34805363.70849800
04-05-2026,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,5168550,2675660.56441800
04-05-2026,INE010B01027,ZYDUS LIFESCIENCES LTD,ZYDUSLIFE,14681700,9655525.84416000
04-05-2026,INE749A01030,JINDAL STEEL LIMITED,JINDALSTEL,18154375,13086276.30946250
04-05-2026,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,38596000,26950330.42246000
04-05-2026,INE451A01017,FORCE MOTORS LIMITED,FORCEMOT,497075,295330.07693675
04-05-2026,INE006I01046,ASTRAL LIMITED,ASTRAL,11419325,8592653.13711150
04-05-2026,INE318A01026,PIDILITE INDUSTRIES LTD,PIDILITIND,8856000,7229189.32020500
04-05-2026,INE347G01014,PETRONET LNG LIMITED,PETRONET,50445000,34262172.77529700
04-05-2026,INE040H01021,SUZLON ENERGY LIMITED,SUZLON,485416125,303506901.94048425
