Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
04-May-26,360ONE,1066.5,1034.65,  0.03031905,  0.02189148,  0.02194174,  0.41919638,1072,1039.25,  0.03102676,  0.02191817,  0.02197319,  0.41979728,  0.02197319,  0.41979728
04-May-26,ABB,7236.5,7230,  0.00089863,  0.01951865,  0.01946995,  0.37197296,7263.5,7267, -0.00048175,  0.01950116,  0.01945250,  0.37163944,  0.01946995,  0.37197296
04-May-26,ABCAPITAL,345.9,345.5,  0.00115707,  0.02131269,  0.02125948,  0.40616182,346.5,347.55, -0.00302572,  0.02147694,  0.02142427,  0.40931016,  0.02142427,  0.40931016
04-May-26,ADANIENSOL,1398.4,1342.25,  0.04098142,  0.02928880,  0.02935878,  0.56089879,1406.9,1350.7,  0.04076573,  0.02944559,  0.02951295,  0.56384405,  0.02951295,  0.56384405
04-May-26,ADANIENT,2485.7,2407.5,  0.03196545,  0.02499683,  0.02503647,  0.47832106,2490.7,2421.8,  0.02805273,  0.02561693,  0.02562974,  0.48965552,  0.02562974,  0.48965552
04-May-26,ADANIGREEN,1290.7,1227.1,  0.05053104,  0.03035582,  0.03048999,  0.58251045,1298.1,1235.2,  0.04966876,  0.03057676,  0.03070180,  0.58655697,  0.03070180,  0.58655697
04-May-26,ADANIPORTS,1742.6,1657.2,  0.05024882,  0.02077424,  0.02102467,  0.40167581,1748,1662.9,  0.04990921,  0.02075896,  0.02100548,  0.40130904,  0.02102467,  0.40167581
04-May-26,ADANIPOWER,227.31,221.86,  0.02426817,  0.02745569,  0.02744058,  0.52425163,228.01,223.38,  0.02051513,  0.02743004,  0.02739986,  0.52347358,  0.02744058,  0.52425163
04-May-26,ALKEM,5360.5,5400, -0.00734170,  0.01525342,  0.01522420,  0.29085786,5350,5393.5, -0.00809796,  0.01523641,  0.01520911,  0.29056971,  0.01522420,  0.29085786
04-May-26,AMBER,8007,8024, -0.00212089,  0.02776539,  0.02769635,  0.52913805,8051,7996,  0.00685489,  0.02809056,  0.02802445,  0.53540628,  0.02802445,  0.53540628
04-May-26,AMBUJACEM,445.35,444.2,  0.00258558,  0.01888990,  0.01884355,  0.36000547,447.35,446.8,  0.00123022,  0.01908161,  0.01903410,  0.36364600,  0.01903410,  0.36364600
04-May-26,ANGELONE,307.7,308.71, -0.00327704,  0.02954548,  0.02947251,  0.56307156,309.5,310.38, -0.00283926,  0.02959908,  0.02952575,  0.56408861,  0.02952575,  0.56408861
04-May-26,APLAPOLLO,1873,1905, -0.01694059,  0.01899673,  0.01898711,  0.36274831,1884.3,1916.3, -0.01683984,  0.01879018,  0.01878091,  0.35880877,  0.01898711,  0.36274831
04-May-26,APOLLOHOSP,7737.5,7636.5,  0.01313925,  0.01307972,  0.01308005,  0.24989407,7780,7679.5,  0.01300190,  0.01286209,  0.01286266,  0.24574083,  0.01308005,  0.24989407
04-May-26,ASHOKLEY,160.77,162.09, -0.00817696,  0.02216281,  0.02211489,  0.42250438,160.62,162.45, -0.01132894,  0.02148850,  0.02144978,  0.40979741,  0.02211489,  0.42250438
04-May-26,ASIANPAINT,2448.1,2444.5,  0.00147161,  0.01513064,  0.01509325,  0.28835609,2461.9,2457.2,  0.00191092,  0.01512866,  0.01509152,  0.28832301,  0.01509325,  0.28835609
